condition_id,trial_id,configured_drop_probability,drop_mechanism,authoritative_drop_fraction_epuck1_to_epuck2,authoritative_drop_fraction_epuck2_to_epuck1,delay_s,jitter_s,measured_message_age_mean_epuck1_to_epuck2,measured_message_age_mean_epuck2_to_epuck1
A,objective5_impairment_matrix_v1_condition_A_trial01_attempt01,0.0,NONE,0.0,0.0,0.0,0.0,4.8192771084336324e-05,0.0001843317972350232
A,objective5_impairment_matrix_v1_condition_A_trial02_attempt01,0.0,NONE,0.0,0.0,0.0,0.0,4.514672686230152e-05,0.0
A,objective5_impairment_matrix_v1_condition_A_trial03_attempt01,0.0,NONE,0.0,0.0,0.0,0.0,0.0,4.524886877827958e-05
A,objective5_impairment_matrix_v1_condition_A_trial04_attempt01,0.0,NONE,0.0,0.0,0.0,0.0,0.0,0.0
A,objective5_impairment_matrix_v1_condition_A_trial05_attempt01,0.0,NONE,0.0,0.0,0.0,0.0,0.0,0.0
B,objective5_impairment_matrix_v1_condition_B_trial01_attempt01,0.0,NONE,0.0,0.0,0.2,0.0,0.20864864865090083,0.20916478555530468
B,objective5_impairment_matrix_v1_condition_B_trial02_attempt01,0.0,NONE,0.0,0.0,0.2,0.0,0.20890410958904104,0.20914942528735628
B,objective5_impairment_matrix_v1_condition_B_trial03_attempt01,0.0,NONE,0.0,0.0,0.2,0.0,0.2086301369885844,0.2090134529170403
B,objective5_impairment_matrix_v1_condition_B_trial04_attempt01,0.0,NONE,0.0,0.0,0.2,0.0,0.2090867579908675,0.2091891891891891
B,objective5_impairment_matrix_v1_condition_B_trial05_attempt01,0.0,NONE,0.0,0.0,0.2,0.0,0.2097663551401868,0.2099999999999999
C,objective5_impairment_matrix_v1_condition_C_trial01_attempt01,0.0,NONE,0.0,0.0,1.0,0.0,1.0001793721973093,1.000221238938053
C,objective5_impairment_matrix_v1_condition_C_trial02_attempt01,0.0,NONE,0.0,0.0,1.0,0.0,0.9997752808988761,1.0002660753880264
C,objective5_impairment_matrix_v1_condition_C_trial03_attempt01,0.0,NONE,0.0,0.0,1.0,0.0,1.000175824175824,0.999954751133484
C,objective5_impairment_matrix_v1_condition_C_trial04_attempt01,0.0,NONE,0.0,0.0,1.0,0.0,1.0001327433650442,1.0070588235315903
C,objective5_impairment_matrix_v1_condition_C_trial05_attempt01,0.0,NONE,0.0,0.0,1.0,0.0,1.000176600441501,1.0001333333333333
D,objective5_impairment_matrix_v1_condition_D_trial01_attempt01,0.0,NONE,0.0,0.0,0.15,0.3,0.16350230413824737,0.15855813953255696
D,objective5_impairment_matrix_v1_condition_D_trial02_attempt01,0.0,NONE,0.0,0.0,0.15,0.3,0.1620930232441849,0.1578997613341276
D,objective5_impairment_matrix_v1_condition_D_trial03_attempt01,0.0,NONE,0.0,0.0,0.15,0.3,0.16577367204849763,0.16468181816818056
D,objective5_impairment_matrix_v1_condition_D_trial05_attempt01,0.0,NONE,0.0,0.0,0.15,0.3,0.15287671232191657,0.1611235954988751
D,objective5_impairment_matrix_v1_condition_D_trial06_attempt01,0.0,NONE,0.0,0.0,0.15,0.3,0.1632634032564088,0.15972477063761362
E,objective5_impairment_matrix_v1_condition_E_trial01_attempt01,0.15,INDEPENDENT_BERNOULLI,0.14780600461893764,0.17045454545454544,0.0,0.0,0.01826558264498499,0.016876712317806828
E,objective5_impairment_matrix_v1_condition_E_trial02_attempt01,0.15,INDEPENDENT_BERNOULLI,0.14699331848552338,0.16192560175054704,0.0,0.0,0.01634464750652616,0.017597911214097865
E,objective5_impairment_matrix_v1_condition_E_trial03_attempt01,0.15,INDEPENDENT_BERNOULLI,0.1291866028708134,0.1103448275862069,0.0,0.0,0.01697802196977886,0.018759689906975296
E,objective5_impairment_matrix_v1_condition_E_trial04_attempt01,0.15,INDEPENDENT_BERNOULLI,0.15777262180974477,0.1366742596810934,0.0,0.0,0.017961432501376044,0.018100263841687135
E,objective5_impairment_matrix_v1_condition_E_trial05_attempt01,0.15,INDEPENDENT_BERNOULLI,0.17647058823529413,0.16129032258064516,0.0,0.0,0.01799999999142693,0.018791208780218227
F,objective5_impairment_matrix_v1_condition_F_trial01_attempt01,0.0,SCHEDULED_OUTAGE,0.0375,0.0401854714064915,0.0,0.0,0.017564935060064304,0.0174557165797096
F,objective5_impairment_matrix_v1_condition_F_trial02_attempt01,0.0,SCHEDULED_OUTAGE,0.03732503888024884,0.037037037037037035,0.0,0.0,0.016575121156703714,0.017660256405448074
F,objective5_impairment_matrix_v1_condition_F_trial03_attempt01,0.0,SCHEDULED_OUTAGE,0.044543429844097995,0.04835164835164835,0.0,0.0,0.018041958027970845,0.017829099293301363
