condition_id,trial_id,attempt_id,data_validity,task_outcome,delay_s,jitter_s,drop_probability,outage_period_s,outage_duration_s,outage_phase_s,seed_epuck1_to_epuck2,seed_epuck2_to_epuck1,minimum_interrobot_distance_m,safety_margin_m,completion_count,task_completion_time_s,stale_stop_duration_s,recovery_time_s,controller_crashed,configured_drop_probability,authoritative_drop_count_epuck1_to_epuck2,authoritative_drop_count_epuck2_to_epuck1,authoritative_drop_fraction_epuck1_to_epuck2,authoritative_drop_fraction_epuck2_to_epuck1,drop_mechanism,measured_message_age_mean_epuck1_to_epuck2,measured_message_age_mean_epuck2_to_epuck1,measured_message_age_p95_epuck1_to_epuck2,measured_message_age_p95_epuck2_to_epuck1,reordered_count_epuck1_to_epuck2,reordered_count_epuck2_to_epuck1,duplicate_count_epuck1_to_epuck2,duplicate_count_epuck2_to_epuck1,queue_drained,stale_state_episode_count,in_task_stale_episode_count,peer_timeout_events,bag_metadata_valid_proxy,analyzer_ok,evidence_hash_status,source_frozen_params_path,source_trial_verdict_path,source_matrix_analysis_path
A,objective5_impairment_matrix_v1_condition_A_trial01_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1430942842844398,0.00309428428443978,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,4.8192771084336324e-05,0.0001843317972350232,0.0,0.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_A_trial01_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_A_trial01_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_A_trial01_attempt01_analysis/matrix_analysis.json
A,objective5_impairment_matrix_v1_condition_A_trial02_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.15064050840214138,0.010640508402141369,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,4.514672686230152e-05,0.0,0.0,0.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_A_trial02_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_A_trial02_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_A_trial02_attempt01_analysis/matrix_analysis.json
A,objective5_impairment_matrix_v1_condition_A_trial03_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.14781142476139542,0.007811424761395402,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.0,4.524886877827958e-05,0.0,0.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_A_trial03_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_A_trial03_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_A_trial03_attempt01_analysis/matrix_analysis.json
A,objective5_impairment_matrix_v1_condition_A_trial04_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.15030077874985828,0.01030077874985827,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.0,0.0,0.0,0.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_A_trial04_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_A_trial04_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_A_trial04_attempt01_analysis/matrix_analysis.json
A,objective5_impairment_matrix_v1_condition_A_trial05_attempt01,1,VALID,SUCCESS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.14178534915907265,0.0017853491590726356,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.0,0.0,0.0,0.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_A_trial05_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_A_trial05_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_A_trial05_attempt01_analysis/matrix_analysis.json
B,objective5_impairment_matrix_v1_condition_B_trial01_attempt01,1,VALID,SUCCESS,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.14777153762172363,0.007771537621723612,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.20864864865090083,0.20916478555530468,0.21999999999999886,0.21999999999999886,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_B_trial01_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_B_trial01_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_B_trial01_attempt01_analysis/matrix_analysis.json
B,objective5_impairment_matrix_v1_condition_B_trial02_attempt01,1,VALID,SUCCESS,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.14483920109118267,0.00483920109118266,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.20890410958904104,0.20914942528735628,0.21999999999999886,0.21999999999999886,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_B_trial02_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_B_trial02_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_B_trial02_attempt01_analysis/matrix_analysis.json
B,objective5_impairment_matrix_v1_condition_B_trial03_attempt01,1,VALID,SUCCESS,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.1464050217802145,0.006405021780214487,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.2086301369885844,0.2090134529170403,0.21999999999999886,0.21999999999999886,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_B_trial03_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_B_trial03_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_B_trial03_attempt01_analysis/matrix_analysis.json
B,objective5_impairment_matrix_v1_condition_B_trial04_attempt01,1,VALID,SUCCESS,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.1423689662964818,0.0023689662964817837,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.2090867579908675,0.2091891891891891,0.21999999999999886,0.21999999999999886,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_B_trial04_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_B_trial04_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_B_trial04_attempt01_analysis/matrix_analysis.json
B,objective5_impairment_matrix_v1_condition_B_trial05_attempt01,1,VALID,SUCCESS,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.1418936528990241,0.001893652899024073,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.2097663551401868,0.2099999999999999,0.21999999999999886,0.21999999999999886,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_B_trial05_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_B_trial05_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_B_trial05_attempt01_analysis/matrix_analysis.json
