condition_id,trial_id,minimum_interrobot_distance_m,minimum_interrobot_distance_m_value_status
A,objective5_impairment_matrix_v1_condition_A_trial01_attempt01,0.1430942842844398,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial02_attempt01,0.15064050840214138,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial03_attempt01,0.14781142476139542,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial04_attempt01,0.15030077874985828,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial05_attempt01,0.14178534915907265,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial01_attempt01,0.14777153762172363,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial02_attempt01,0.14483920109118267,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial03_attempt01,0.1464050217802145,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial04_attempt01,0.1423689662964818,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial05_attempt01,0.1418936528990241,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial01_attempt01,0.1413368685333981,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial02_attempt01,0.14811357904635797,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial03_attempt01,0.14942341444857474,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial04_attempt01,0.14088588504310082,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial05_attempt01,0.13890857361707953,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial01_attempt01,0.1444723957613864,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial02_attempt01,0.1516223239385512,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial03_attempt01,0.14016992055075728,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial05_attempt01,0.14919158786608294,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial06_attempt01,0.14431858718680218,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial01_attempt01,0.14662650300062452,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial02_attempt01,0.1476825875632454,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial03_attempt01,0.14953894800279266,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial04_attempt01,0.14769971325561143,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial05_attempt01,0.14473378798227735,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial01_attempt01,0.1435979511442254,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial02_attempt01,0.1519485791126714,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial03_attempt01,0.14662546676383612,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial04_attempt01,0.15101714185223786,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial05_attempt01,0.14728944626764628,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial01_attempt01,0.1431967129721379,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial02_attempt01,0.1396690407705024,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial03_attempt01,0.1498907028615544,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial04_attempt01,0.1430484304569504,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial05_attempt01,0.1429028107215421,AVAILABLE
