condition_id,trial_id,drop_mechanism,authoritative_drop_fraction_epuck1_to_epuck2,authoritative_drop_fraction_epuck1_to_epuck2_value_status,authoritative_drop_fraction_epuck2_to_epuck1,authoritative_drop_fraction_epuck2_to_epuck1_value_status
A,objective5_impairment_matrix_v1_condition_A_trial01_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial02_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial03_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial04_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial05_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial01_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial02_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial03_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial04_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial05_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial01_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial02_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial03_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial04_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial05_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial01_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial02_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial03_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial05_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial06_attempt01,NONE,0.0,AVAILABLE,0.0,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial01_attempt01,INDEPENDENT_BERNOULLI,0.14780600461893764,AVAILABLE,0.17045454545454544,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial02_attempt01,INDEPENDENT_BERNOULLI,0.14699331848552338,AVAILABLE,0.16192560175054704,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial03_attempt01,INDEPENDENT_BERNOULLI,0.1291866028708134,AVAILABLE,0.1103448275862069,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial04_attempt01,INDEPENDENT_BERNOULLI,0.15777262180974477,AVAILABLE,0.1366742596810934,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial05_attempt01,INDEPENDENT_BERNOULLI,0.17647058823529413,AVAILABLE,0.16129032258064516,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial01_attempt01,SCHEDULED_OUTAGE,0.0375,AVAILABLE,0.0401854714064915,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial02_attempt01,SCHEDULED_OUTAGE,0.03732503888024884,AVAILABLE,0.037037037037037035,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial03_attempt01,SCHEDULED_OUTAGE,0.044543429844097995,AVAILABLE,0.04835164835164835,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial04_attempt01,SCHEDULED_OUTAGE,0.046801872074883,AVAILABLE,0.04636785162287481,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial05_attempt01,SCHEDULED_OUTAGE,0.04672897196261682,AVAILABLE,0.046875,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial01_attempt01,INDEPENDENT_BERNOULLI,0.08836206896551724,AVAILABLE,0.11864406779661017,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial02_attempt01,INDEPENDENT_BERNOULLI,0.10352941176470588,AVAILABLE,0.11574074074074074,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial03_attempt01,INDEPENDENT_BERNOULLI,0.09259259259259259,AVAILABLE,0.07289293849658314,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial04_attempt01,INDEPENDENT_BERNOULLI,0.11648351648351649,AVAILABLE,0.09706546275395034,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial05_attempt01,INDEPENDENT_BERNOULLI,0.09601873536299765,AVAILABLE,0.11778290993071594,AVAILABLE
