condition_id,trial_id,reordered_count_epuck1_to_epuck2,reordered_count_epuck1_to_epuck2_value_status,reordered_count_epuck2_to_epuck1,reordered_count_epuck2_to_epuck1_value_status
A,objective5_impairment_matrix_v1_condition_A_trial01_attempt01,0,AVAILABLE,0,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial02_attempt01,0,AVAILABLE,0,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial03_attempt01,0,AVAILABLE,0,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial04_attempt01,0,AVAILABLE,0,AVAILABLE
A,objective5_impairment_matrix_v1_condition_A_trial05_attempt01,0,AVAILABLE,0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial01_attempt01,0,AVAILABLE,0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial02_attempt01,0,AVAILABLE,0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial03_attempt01,0,AVAILABLE,0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial04_attempt01,0,AVAILABLE,0,AVAILABLE
B,objective5_impairment_matrix_v1_condition_B_trial05_attempt01,0,AVAILABLE,0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial01_attempt01,0,AVAILABLE,0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial02_attempt01,0,AVAILABLE,0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial03_attempt01,0,AVAILABLE,0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial04_attempt01,0,AVAILABLE,0,AVAILABLE
C,objective5_impairment_matrix_v1_condition_C_trial05_attempt01,0,AVAILABLE,0,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial01_attempt01,89,AVAILABLE,92,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial02_attempt01,91,AVAILABLE,83,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial03_attempt01,80,AVAILABLE,78,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial05_attempt01,103,AVAILABLE,94,AVAILABLE
D,objective5_impairment_matrix_v1_condition_D_trial06_attempt01,96,AVAILABLE,94,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial01_attempt01,0,AVAILABLE,0,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial02_attempt01,0,AVAILABLE,0,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial03_attempt01,0,AVAILABLE,0,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial04_attempt01,0,AVAILABLE,0,AVAILABLE
E,objective5_impairment_matrix_v1_condition_E_trial05_attempt01,0,AVAILABLE,0,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial01_attempt01,0,AVAILABLE,0,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial02_attempt01,0,AVAILABLE,0,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial03_attempt01,0,AVAILABLE,0,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial04_attempt01,0,AVAILABLE,0,AVAILABLE
F,objective5_impairment_matrix_v1_condition_F_trial05_attempt01,0,AVAILABLE,0,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial01_attempt01,43,AVAILABLE,30,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial02_attempt01,31,AVAILABLE,37,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial03_attempt01,41,AVAILABLE,42,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial04_attempt01,44,AVAILABLE,32,AVAILABLE
G,objective5_impairment_matrix_v1_condition_G_trial05_attempt01,27,AVAILABLE,33,AVAILABLE
