condition_id,trial_id,task_outcome
A,objective5_impairment_matrix_v1_condition_A_trial01_attempt01,SUCCESS
A,objective5_impairment_matrix_v1_condition_A_trial02_attempt01,SUCCESS
A,objective5_impairment_matrix_v1_condition_A_trial03_attempt01,SUCCESS
A,objective5_impairment_matrix_v1_condition_A_trial04_attempt01,SUCCESS
A,objective5_impairment_matrix_v1_condition_A_trial05_attempt01,SUCCESS
B,objective5_impairment_matrix_v1_condition_B_trial01_attempt01,SUCCESS
B,objective5_impairment_matrix_v1_condition_B_trial02_attempt01,SUCCESS
B,objective5_impairment_matrix_v1_condition_B_trial03_attempt01,SUCCESS
B,objective5_impairment_matrix_v1_condition_B_trial04_attempt01,SUCCESS
B,objective5_impairment_matrix_v1_condition_B_trial05_attempt01,SUCCESS
C,objective5_impairment_matrix_v1_condition_C_trial01_attempt01,SUCCESS
C,objective5_impairment_matrix_v1_condition_C_trial02_attempt01,SUCCESS
C,objective5_impairment_matrix_v1_condition_C_trial03_attempt01,SUCCESS
C,objective5_impairment_matrix_v1_condition_C_trial04_attempt01,SUCCESS
C,objective5_impairment_matrix_v1_condition_C_trial05_attempt01,UNSAFE_FAILURE
D,objective5_impairment_matrix_v1_condition_D_trial01_attempt01,SUCCESS
D,objective5_impairment_matrix_v1_condition_D_trial02_attempt01,SUCCESS
D,objective5_impairment_matrix_v1_condition_D_trial03_attempt01,SUCCESS
D,objective5_impairment_matrix_v1_condition_D_trial05_attempt01,SUCCESS
D,objective5_impairment_matrix_v1_condition_D_trial06_attempt01,SUCCESS
E,objective5_impairment_matrix_v1_condition_E_trial01_attempt01,SUCCESS
E,objective5_impairment_matrix_v1_condition_E_trial02_attempt01,SUCCESS
E,objective5_impairment_matrix_v1_condition_E_trial03_attempt01,SUCCESS
E,objective5_impairment_matrix_v1_condition_E_trial04_attempt01,SUCCESS
E,objective5_impairment_matrix_v1_condition_E_trial05_attempt01,SUCCESS
F,objective5_impairment_matrix_v1_condition_F_trial01_attempt01,SUCCESS
F,objective5_impairment_matrix_v1_condition_F_trial02_attempt01,SUCCESS
F,objective5_impairment_matrix_v1_condition_F_trial03_attempt01,SUCCESS
F,objective5_impairment_matrix_v1_condition_F_trial04_attempt01,SUCCESS
F,objective5_impairment_matrix_v1_condition_F_trial05_attempt01,SUCCESS
G,objective5_impairment_matrix_v1_condition_G_trial01_attempt01,SUCCESS
G,objective5_impairment_matrix_v1_condition_G_trial02_attempt01,UNSAFE_FAILURE
G,objective5_impairment_matrix_v1_condition_G_trial03_attempt01,SUCCESS
G,objective5_impairment_matrix_v1_condition_G_trial04_attempt01,SUCCESS
G,objective5_impairment_matrix_v1_condition_G_trial05_attempt01,SUCCESS
