section,key,value
tier_a,state_seq_first,0
tier_a,state_seq_last,9596
tier_a,state_unique_received,9597
tier_a,state_missing,0
tier_a,state_out_of_order_INCLUDES_ANY_DUPLICATE,0
tier_a,duplicate_count_SEPARATELY_TRACKED,
tier_a,duplicate_note,the bridge's own update_sequence_stats() does not distinguish a true duplicate from a generic out-of-order/backward arrival -- both increment the same counter. Not fabricated here.
tier_a,APPLICATION_STATE_SEQUENCE_DELIVERY_RATIO,1.0
tier_a,naming_note,"this is Pi application-level state-sequence receipt completeness at the WSL bridge. It is NOT IP packet loss, NOT TCP packet loss, and is NOT automatically equal to the EpuckState bag capture ratio (tier B) or any rosbag PDR."
tier_b,message_count,2150
tier_b,first_sequence,6048
tier_b,last_sequence,8197
tier_b,unique_sequence_count,2150
tier_b,expected_sequence_count,2150
tier_b,gap_count,0
tier_b,duplicate_count,0
tier_b,out_of_order_count,0
tier_b,bag_capture_ratio,1.0
tier_b,note,measures whether the bag captured every state_publisher-generated EpuckState message; does NOT measure Pi-to-WSL bridge transport loss (see tier A)
tier_c,/odom_message_count,2194
tier_c,/odom_duration_s,239.88020610809326
tier_c,/odom_avg_rate_hz,9.146231927995569
tier_c,/odom_max_gap_s,0.3014411926269531
tier_c,/odom_total_stall_s,0
tier_c,/odom_note,no source-side sequence exists for this topic; PDR is not claimed
tier_c,/scan_message_count,2194
tier_c,/scan_duration_s,239.88035225868225
tier_c,/scan_avg_rate_hz,9.146226355520913
tier_c,/scan_max_gap_s,0.3012726306915283
tier_c,/scan_total_stall_s,0
tier_c,/scan_note,no source-side sequence exists for this topic; PDR is not claimed
tier_c,/tof_message_count,2194
tier_c,/tof_duration_s,239.880113363266
tier_c,/tof_avg_rate_hz,9.14623546420242
tier_c,/tof_max_gap_s,0.30058765411376953
tier_c,/tof_total_stall_s,0
tier_c,/tof_note,no source-side sequence exists for this topic; PDR is not claimed
tier_c,/ps0_message_count,2194
tier_c,/ps0_duration_s,239.880206823349
tier_c,/ps0_avg_rate_hz,9.146231900724061
tier_c,/ps0_max_gap_s,0.3020823001861572
tier_c,/ps0_total_stall_s,0
tier_c,/ps0_note,no source-side sequence exists for this topic; PDR is not claimed
tier_c,/ps1_message_count,2194
tier_c,/ps1_duration_s,239.88018989562988
tier_c,/ps1_avg_rate_hz,9.14623254614978
tier_c,/ps1_max_gap_s,0.300431489944458
tier_c,/ps1_total_stall_s,0
tier_c,/ps1_note,no source-side sequence exists for this topic; PDR is not claimed
tier_c,/ps2_message_count,2194
tier_c,/ps2_duration_s,239.88020730018616
tier_c,/ps2_avg_rate_hz,9.146231882543056
tier_c,/ps2_max_gap_s,0.3005392551422119
tier_c,/ps2_total_stall_s,0
tier_c,/ps2_note,no source-side sequence exists for this topic; PDR is not claimed
tier_c,/ps3_message_count,2194
tier_c,/ps3_duration_s,239.88022446632385
tier_c,/ps3_avg_rate_hz,9.146231228026927
tier_c,/ps3_max_gap_s,0.3004939556121826
tier_c,/ps3_total_stall_s,0
tier_c,/ps3_note,no source-side sequence exists for this topic; PDR is not claimed
tier_c,/ps4_message_count,2194
tier_c,/ps4_duration_s,239.8803551197052
tier_c,/ps4_avg_rate_hz,9.146226246435017
tier_c,/ps4_max_gap_s,0.30040431022644043
tier_c,/ps4_total_stall_s,0
