unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784380157.548,14.50,166.21,198.32,2942,37272,70.0,-31.0
1784380158.554,14.78,166.27,198.26,3315,40221,70.0,-33.0
1784380159.561,14.11,166.33,198.20,2944,36366,70.0,-31.0
1784380160.568,15.16,166.33,198.20,3199,40495,70.0,-30.0
1784380161.576,13.86,166.45,198.08,2994,35823,70.0,-30.0
1784380162.584,14.74,166.45,198.08,2940,36174,70.0,-30.0
1784380163.590,15.80,166.57,197.96,3250,40959,70.0,-29.0
1784380164.595,14.78,166.57,197.96,2904,35644,70.0,-26.0
1784380165.601,14.46,166.62,197.91,3534,39826,70.0,-27.0
1784380166.608,15.98,166.68,197.85,2943,36323,70.0,-27.0
1784380167.614,16.22,166.68,197.85,3155,39696,70.0,-27.0
1784380168.620,14.84,166.68,197.85,2941,35796,70.0,-27.0
1784380169.627,15.57,166.73,197.80,2941,35766,70.0,-27.0
1784380170.634,15.65,166.79,197.74,3197,41259,70.0,-28.0
1784380171.640,14.32,166.75,197.78,2901,36313,70.0,-27.0
1784380172.646,15.44,166.75,197.79,3198,39497,70.0,-27.0
1784380173.652,15.23,166.75,197.79,2900,36627,70.0,-26.0
1784380174.657,15.40,166.68,197.86,2941,35604,70.0,-27.0
1784380175.663,15.53,166.68,197.86,3199,39766,70.0,-26.0
1784380176.669,15.70,166.66,197.87,2942,35978,70.0,-27.0
1784380177.675,14.60,166.64,197.89,3158,39065,70.0,-27.0
1784380178.681,15.12,166.64,197.89,2993,36344,70.0,-26.0
1784380179.687,15.70,166.64,197.89,3198,39503,70.0,-27.0
1784380180.695,13.90,166.64,197.89,2901,35987,70.0,-26.0
1784380181.701,16.91,166.70,197.83,2942,36374,70.0,-26.0
1784380182.706,15.74,166.70,197.84,3235,39895,70.0,-27.0
1784380183.712,15.23,166.75,197.78,2862,35798,70.0,-28.0
