unix_time_s,cpu_percent,mem_used_mb,mem_available_mb
1784380376.863,14.42,652.46,3264.16
1784380377.866,14.56,665.11,3251.50
1784380378.212,4.69,662.83,3253.78
1784380379.214,2.28,661.14,3255.48
1784380380.216,1.79,659.04,3257.58
1784380381.218,2.30,657.88,3258.73
1784380382.219,3.05,657.88,3258.73
1784380383.221,2.05,657.86,3258.76
1784380384.223,3.78,657.86,3258.76
1784380385.225,3.54,657.86,3258.76
1784380386.227,2.30,657.83,3258.78
1784380387.228,2.30,657.83,3258.78
1784380388.229,2.30,657.83,3258.78
1784380389.231,2.05,663.02,3253.60
1784380390.233,2.80,663.01,3253.60
1784380391.235,2.04,663.01,3253.60
1784380392.237,1.03,663.01,3253.60
1784380393.239,2.54,663.01,3253.60
1784380394.241,3.79,663.01,3253.60
1784380395.242,2.79,662.96,3253.65
1784380396.244,3.04,662.96,3253.65
1784380397.245,2.79,662.96,3253.65
1784380398.246,2.05,662.96,3253.65
1784380399.247,3.06,662.91,3253.70
1784380400.248,1.80,662.90,3253.71
1784380401.250,1.79,662.90,3253.71
1784380402.252,2.30,662.90,3253.71
1784380403.254,3.54,662.90,3253.71
1784380404.256,3.77,662.90,3253.71
1784380405.257,2.56,662.90,3253.71
1784380406.259,3.28,662.84,3253.78
1784380407.260,1.55,662.84,3253.78
1784380408.262,3.29,662.93,3253.69
1784380409.263,2.80,662.93,3253.69
1784380409.608,2.04,662.93,3253.69
1784380410.610,1.27,662.93,3253.69
1784380411.611,4.51,662.93,3253.69
1784380412.613,3.54,662.93,3253.69
1784380413.615,2.78,662.91,3253.71
1784380414.617,3.05,662.91,3253.71
1784380415.620,4.50,662.90,3253.71
1784380416.621,3.28,662.86,3253.75
1784380417.622,2.79,662.86,3253.75
1784380418.624,4.25,662.79,3253.82
1784380419.626,3.79,662.79,3253.82
1784380420.627,3.53,662.79,3253.82
1784380421.629,4.25,662.79,3253.82
1784380422.631,3.54,662.79,3253.82
1784380423.633,3.04,662.72,3253.89
1784380424.635,4.50,662.68,3253.94
1784380425.637,3.79,662.68,3253.94
1784380426.638,3.29,662.68,3253.94
1784380427.640,3.52,662.67,3253.94
1784380428.642,3.54,662.67,3253.94
1784380429.644,4.02,662.67,3253.94
1784380430.646,3.27,662.67,3253.94
1784380431.647,3.54,662.56,3254.05
1784380432.649,3.04,662.56,3254.05
1784380433.650,4.03,662.56,3254.05
1784380434.652,3.53,662.56,3254.05
1784380435.654,4.01,662.46,3254.15
1784380436.655,3.54,662.46,3254.15
1784380437.657,4.26,662.46,3254.15
1784380438.658,4.98,662.46,3254.15
1784380439.660,3.03,662.46,3254.15
1784380440.662,4.02,662.41,3254.20
1784380441.010,3.79,662.41,3254.20
1784380442.011,2.49,662.41,3254.20
1784380443.013,4.73,662.41,3254.20
1784380444.015,4.02,662.41,3254.20
1784380445.016,4.26,662.32,3254.29
1784380446.018,5.21,662.27,3254.35
1784380447.020,4.25,662.27,3254.35
1784380448.020,3.78,662.20,3254.41
1784380449.022,4.02,662.20,3254.41
1784380450.023,4.24,662.20,3254.41
1784380451.026,4.26,662.20,3254.41
1784380452.027,4.01,662.20,3254.41
1784380453.029,4.49,662.20,3254.41
1784380454.031,4.74,662.20,3254.41
1784380455.033,3.78,662.15,3254.46
1784380456.035,4.02,662.11,3254.50
1784380457.036,4.74,662.11,3254.50
1784380458.038,4.02,662.11,3254.50
1784380459.039,5.43,662.11,3254.50
1784380460.040,4.02,662.11,3254.50
1784380461.042,3.52,662.11,3254.50
1784380462.044,4.74,662.04,3254.57
1784380463.044,3.54,662.04,3254.57
1784380464.046,4.28,662.00,3254.62
1784380465.047,3.05,661.99,3254.62
1784380466.049,4.26,661.99,3254.62
1784380467.051,4.98,661.99,3254.62
1784380468.052,5.67,661.99,3254.62
1784380469.054,4.49,661.99,3254.62
1784380470.055,4.01,661.93,3254.69
1784380471.057,4.01,661.93,3254.69
1784380472.058,3.78,661.86,3254.75
1784380473.060,4.00,661.81,3254.80
1784380473.409,2.49,661.75,3254.86
1784380474.411,6.60,661.75,3254.86
1784380475.413,7.82,661.73,3254.89
1784380476.414,5.93,661.73,3254.89
1784380477.415,5.20,661.73,3254.89
1784380478.417,7.99,661.69,3254.92
1784380479.418,5.67,661.69,3254.92
1784380480.421,6.14,661.68,3254.93
1784380481.422,5.43,661.68,3254.93
1784380482.423,6.34,661.68,3254.93
1784380483.424,6.11,661.68,3254.93
1784380484.426,7.25,661.63,3254.98
