unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784377120.471,8.06,164.43,200.11,2964,17642,68.0,-42.0
1784377121.478,8.18,164.43,200.11,3271,18207,70.0,-40.0
1784377122.485,8.18,164.48,200.05,2992,17799,66.0,-44.0
1784377123.494,8.86,164.48,200.05,2963,19056,65.0,-45.0
1784377124.501,8.65,164.54,199.99,3117,18005,70.0,-39.0
1784377125.508,8.38,164.60,199.93,2952,18988,68.0,-42.0
1784377126.514,6.51,164.66,199.87,3000,17843,66.0,-44.0
1784377127.522,9.11,164.60,199.93,3157,18009,65.0,-45.0
1784377128.529,8.18,164.59,199.95,2962,18781,64.0,-46.0
1784377129.536,6.77,164.59,199.95,2990,18047,70.0,-40.0
1784377130.543,7.93,164.59,199.95,2910,17714,68.0,-42.0
1784377131.550,8.18,164.59,199.95,3115,17661,68.0,-42.0
1784377132.557,7.95,164.70,199.83,2990,17847,64.0,-46.0
1784377133.564,8.23,164.75,199.78,2960,19331,64.0,-46.0
1784377134.571,7.91,164.69,199.84,2951,17367,64.0,-46.0
1784377135.578,7.95,164.75,199.78,3113,17938,64.0,-46.0
1784377136.585,7.97,164.75,199.78,3004,19443,68.0,-42.0
1784377137.592,8.65,164.75,199.78,2992,17886,68.0,-42.0
1784377138.599,8.40,164.68,199.86,3158,17330,68.0,-42.0
1784377139.606,9.60,164.67,199.86,2999,19875,64.0,-46.0
1784377140.612,8.88,164.66,199.87,3155,17461,64.0,-46.0
1784377141.619,7.95,164.66,199.87,2949,17445,68.0,-42.0
1784377142.626,8.86,164.72,199.81,2953,19449,64.0,-46.0
1784377143.633,8.86,164.72,199.81,2963,17373,64.0,-46.0
1784377144.640,8.38,164.66,199.87,3316,18963,64.0,-46.0
1784377145.646,8.16,164.72,199.81,2997,19004,63.0,-47.0
1784377146.654,8.63,164.72,199.81,2910,17170,67.0,-43.0
1784377147.661,8.18,164.72,199.81,3152,17734,70.0,-32.0
1784377148.668,8.44,164.72,199.81,3001,19532,65.0,-45.0
1784377149.675,8.63,164.72,199.81,3151,17258,66.0,-44.0
1784377150.682,9.11,164.66,199.87,2913,18050,65.0,-45.0
1784377151.689,7.97,164.72,199.81,3002,19134,67.0,-43.0
1784377152.696,10.03,164.72,199.81,3154,17457,68.0,-42.0
1784377153.702,7.44,164.69,199.84,2952,17439,63.0,-47.0
1784377154.710,7.71,164.69,199.84,3004,19534,70.0,-30.0
1784377155.716,9.32,164.75,199.78,3114,17464,70.0,-29.0
1784377156.723,7.71,164.69,199.84,3000,19262,70.0,-39.0
1784377157.730,8.42,164.80,199.73,2950,17920,70.0,-36.0
1784377158.736,7.95,164.69,199.84,3117,17466,70.0,-32.0
