unix_time_s,cpu_percent,mem_used_mb,mem_available_mb
1784377146.314,19.90,575.71,3340.90
1784377147.316,9.43,593.75,3322.87
1784377148.317,3.22,594.14,3322.48
1784377149.320,3.21,594.21,3322.40
1784377150.321,3.69,594.21,3322.40
1784377151.322,2.97,594.21,3322.40
1784377152.324,3.69,594.21,3322.40
1784377153.327,3.69,594.20,3322.41
1784377154.328,3.45,594.20,3322.41
1784377154.681,1.25,594.18,3322.43
1784377155.682,0.00,594.18,3322.43
1784377156.683,0.76,594.18,3322.43
1784377157.684,0.51,594.18,3322.43
1784377158.686,0.26,594.16,3322.45
1784377159.687,1.26,594.16,3322.45
1784377160.689,0.25,594.11,3322.50
1784377161.691,0.51,594.11,3322.50
1784377162.692,0.25,594.11,3322.50
1784377163.694,1.01,594.11,3322.50
1784377164.696,0.25,594.10,3322.51
1784377165.698,0.51,594.10,3322.51
1784377166.699,0.76,594.10,3322.51
1784377167.702,0.00,594.10,3322.51
1784377168.703,0.51,594.10,3322.51
1784377169.704,0.51,594.10,3322.51
1784377170.706,0.76,594.10,3322.51
1784377171.707,0.51,594.10,3322.51
1784377172.709,0.25,594.04,3322.57
1784377173.711,0.51,594.04,3322.57
1784377174.712,0.51,594.04,3322.57
1784377175.714,0.25,594.04,3322.57
1784377176.715,0.51,594.04,3322.57
1784377177.717,0.76,594.04,3322.57
1784377178.718,0.76,593.93,3322.68
1784377179.720,0.51,594.07,3322.54
1784377180.724,0.75,594.18,3322.44
1784377181.726,0.51,594.18,3322.44
1784377182.728,0.00,594.12,3322.49
1784377183.729,1.26,594.12,3322.49
1784377184.731,0.25,595.84,3320.77
1784377185.732,0.51,595.84,3320.77
1784377186.135,0.51,595.84,3320.77
1784377187.136,4.40,595.84,3320.77
1784377188.137,4.17,595.84,3320.77
1784377189.139,5.10,595.84,3320.77
1784377190.141,4.85,595.84,3320.77
1784377191.142,4.87,595.84,3320.77
1784377192.144,4.85,595.84,3320.77
1784377193.146,5.54,595.84,3320.77
1784377194.148,4.63,595.84,3320.77
1784377195.149,4.39,595.79,3320.83
1784377196.152,2.25,595.79,3320.83
1784377197.154,2.01,595.79,3320.83
1784377198.156,1.01,595.79,3320.83
1784377199.158,2.49,595.79,3320.83
1784377200.159,2.26,596.03,3320.58
1784377201.161,3.45,596.03,3320.58
1784377202.162,4.18,596.03,3320.58
1784377203.164,4.87,595.97,3320.64
1784377204.165,3.69,595.97,3320.64
1784377205.167,5.10,595.97,3320.64
1784377206.169,3.46,595.97,3320.64
1784377207.171,5.57,595.97,3320.64
1784377208.173,4.87,595.97,3320.64
1784377209.175,5.54,595.95,3320.66
1784377210.176,2.99,595.89,3320.73
1784377211.178,4.62,595.89,3320.73
1784377212.179,4.63,595.89,3320.73
1784377213.181,4.65,595.89,3320.73
1784377214.184,5.10,595.89,3320.73
1784377215.185,5.56,595.89,3320.73
1784377216.187,5.10,595.89,3320.73
1784377217.189,4.87,595.87,3320.75
1784377217.553,3.91,595.87,3320.75
1784377218.555,0.76,595.87,3320.75
1784377219.557,1.76,595.79,3320.82
1784377220.559,1.51,595.94,3320.68
1784377221.561,1.26,596.04,3320.58
1784377222.563,2.01,596.04,3320.58
1784377223.565,2.26,596.00,3320.62
1784377224.567,0.76,595.92,3320.70
1784377225.569,1.76,595.92,3320.70
1784377226.571,1.26,595.92,3320.70
1784377227.571,1.01,595.92,3320.70
1784377228.573,0.76,595.92,3320.70
1784377229.575,2.98,595.88,3320.73
1784377230.577,0.51,595.88,3320.73
1784377231.578,1.01,595.88,3320.73
1784377232.579,1.01,595.88,3320.73
1784377233.580,1.76,595.88,3320.73
1784377234.582,1.26,595.88,3320.73
1784377235.583,0.26,595.88,3320.73
1784377236.584,2.49,595.88,3320.73
1784377237.586,1.01,595.88,3320.73
1784377238.587,0.76,595.81,3320.80
1784377239.589,2.24,595.78,3320.84
1784377240.590,0.26,595.78,3320.84
1784377241.591,1.51,596.27,3320.34
1784377242.593,1.75,596.27,3320.34
1784377243.595,0.51,597.16,3319.45
1784377244.596,1.26,597.16,3319.45
1784377245.598,2.00,597.16,3319.45
1784377246.601,0.51,597.16,3319.45
1784377247.603,1.75,597.16,3319.45
1784377248.605,1.51,597.16,3319.45
1784377248.990,1.75,597.16,3319.45
1784377249.992,3.44,597.13,3319.48
1784377250.993,4.85,597.13,3319.48
1784377251.994,4.17,597.13,3319.48
1784377252.997,3.92,597.13,3319.48
1784377253.998,4.16,597.13,3319.48
1784377254.999,4.40,597.13,3319.48
1784377256.001,3.69,597.07,3319.54
1784377257.002,4.40,597.07,3319.54
1784377258.003,3.93,597.07,3319.54
1784377259.005,3.69,597.07,3319.54
1784377260.006,4.39,597.07,3319.54
1784377261.008,6.01,597.07,3319.54
1784377262.009,4.63,597.07,3319.54
1784377263.011,3.93,597.07,3319.54
1784377264.012,4.62,597.05,3319.56
1784377265.014,2.97,596.99,3319.62
1784377266.016,3.92,596.99,3319.62
1784377267.017,4.39,596.99,3319.62
1784377268.019,2.48,596.99,3319.62
1784377269.021,3.45,596.99,3319.62
1784377270.022,4.16,596.95,3319.66
1784377271.025,4.85,596.95,3319.66
1784377272.026,3.47,596.95,3319.66
