unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784384853.555,14.78,202.83,161.70,3002,36755,70.0,-33.0
1784384854.562,15.48,202.87,161.66,3363,39755,70.0,-33.0
1784384855.569,14.95,202.87,161.66,2922,36771,70.0,-38.0
1784384856.575,14.89,202.87,161.66,3209,41515,70.0,-38.0
1784384857.581,14.36,202.93,161.60,2911,36243,70.0,-37.0
1784384858.586,14.39,202.99,161.54,3209,40555,70.0,-36.0
1784384859.592,13.72,203.05,161.48,2989,37291,70.0,-37.0
1784384860.598,15.53,203.11,161.43,2949,37143,70.0,-36.0
1784384861.604,15.10,203.14,161.39,3246,40945,70.0,-35.0
1784384862.611,14.63,203.08,161.45,2908,36687,70.0,-39.0
1784384863.617,14.71,203.14,161.39,3164,40069,70.0,-36.0
1784384864.622,14.60,203.13,161.40,2951,36509,70.0,-35.0
1784384865.628,14.99,203.19,161.34,2952,36755,70.0,-38.0
1784384866.634,14.32,203.25,161.29,2906,36591,70.0,-36.0
1784384867.640,15.37,203.18,161.35,3258,40308,70.0,-35.0
1784384868.645,13.22,203.24,161.29,2948,37129,70.0,-36.0
1784384869.652,15.27,203.30,161.23,3300,43273,69.0,-41.0
1784384870.659,16.13,203.30,161.23,2951,37666,70.0,-35.0
1784384871.665,14.81,203.24,161.29,3170,40317,70.0,-36.0
1784384872.671,14.88,203.29,161.25,2911,36457,70.0,-33.0
1784384873.676,15.40,203.29,161.25,2952,36788,70.0,-33.0
1784384874.683,13.43,203.29,161.25,3116,40967,70.0,-36.0
1784384875.691,15.90,203.29,161.25,2965,36591,70.0,-37.0
1784384876.699,15.23,203.29,161.25,2869,37062,70.0,-36.0
1784384877.705,13.22,203.29,161.25,3208,40965,70.0,-35.0
1784384878.711,14.53,203.29,161.25,2949,36309,70.0,-36.0
1784384879.717,15.16,203.23,161.30,3221,40392,70.0,-33.0
1784384880.722,14.71,203.34,161.19,2952,37715,70.0,-35.0
1784384881.729,15.02,203.34,161.19,3196,37223,70.0,-36.0
1784384882.736,14.50,203.29,161.25,3083,43517,70.0,-36.0
1784384883.742,16.10,203.33,161.20,2911,37045,70.0,-35.0
1784384884.747,15.06,203.27,161.26,3209,40546,70.0,-33.0
1784384885.753,12.88,203.27,161.26,2912,36886,70.0,-33.0
1784384886.760,13.97,203.27,161.26,3209,41219,70.0,-32.0
1784384887.766,13.83,203.27,161.26,2951,37324,70.0,-31.0
1784384888.772,14.68,203.29,161.24,3169,41754,70.0,-32.0
1784384889.778,15.61,203.23,161.30,2952,36405,70.0,-33.0
1784384890.784,14.74,203.35,161.18,2952,36744,70.0,-33.0
1784384891.790,15.35,203.29,161.24,3168,42508,70.0,-33.0
1784384892.795,15.02,203.35,161.18,2952,37168,70.0,-33.0
1784384893.801,16.87,203.34,161.19,3203,40504,70.0,-32.0
1784384894.807,15.12,203.34,161.19,2983,38031,70.0,-32.0
1784384895.813,14.25,203.29,161.25,3126,41782,70.0,-32.0
1784384896.819,13.18,203.34,161.19,2951,37227,70.0,-32.0
1784384897.824,13.83,203.40,161.13,3117,41674,70.0,-32.0
1784384898.831,14.60,203.40,161.13,2921,36690,70.0,-32.0
1784384899.837,15.10,203.46,161.07,2912,37881,70.0,-32.0
1784384900.844,15.35,203.34,161.19,3209,42266,70.0,-32.0
1784384901.850,15.46,203.46,161.07,2873,36272,70.0,-33.0
1784384902.856,14.21,203.40,161.13,3209,40617,70.0,-32.0
1784384903.862,14.36,203.34,161.19,2950,36889,70.0,-33.0
1784384904.869,14.39,203.34,161.19,2912,36827,70.0,-32.0
1784384905.874,12.69,203.46,161.07,3166,40539,70.0,-32.0
1784384906.880,14.81,203.46,161.07,2953,37205,70.0,-32.0
1784384907.886,14.81,203.46,161.07,3288,41726,70.0,-33.0
1784384908.893,14.53,203.44,161.09,2907,36903,70.0,-33.0
1784384909.899,14.64,203.50,161.04,2911,36820,70.0,-33.0
1784384910.905,15.40,203.50,161.04,3206,40435,70.0,-33.0
1784384911.911,13.76,203.55,160.98,2952,36867,70.0,-33.0
1784384912.918,16.10,203.55,160.98,3169,42010,70.0,-34.0
1784384913.923,15.16,203.55,160.98,2948,37621,70.0,-33.0
1784384914.929,14.78,203.60,160.93,3209,40446,70.0,-32.0
1784384915.935,14.07,203.60,160.93,3029,37811,70.0,-33.0
1784384916.940,15.61,203.66,160.87,3117,40456,70.0,-33.0
1784384917.946,13.40,203.54,160.99,3082,38368,70.0,-32.0
1784384918.952,13.97,203.60,160.93,2951,38183,70.0,-33.0
1784384919.958,14.00,203.54,161.00,3209,40373,70.0,-32.0
1784384920.964,14.50,203.54,161.00,2950,36545,70.0,-33.0
1784384921.970,13.97,203.54,161.00,3205,40127,70.0,-32.0
1784384922.976,14.71,203.52,161.01,2950,36693,70.0,-32.0
1784384923.983,13.22,203.52,161.01,3169,40016,70.0,-32.0
1784384924.989,13.90,203.56,160.97,2952,36775,70.0,-33.0
1784384925.995,14.25,203.56,160.97,3169,40119,70.0,-32.0
1784384927.002,15.16,203.62,160.91,2910,36516,70.0,-33.0
1784384928.009,15.44,203.68,160.86,2986,37882,70.0,-33.0
1784384929.015,14.68,203.68,160.86,3209,40602,70.0,-36.0
1784384930.021,14.63,203.68,160.86,3120,36867,70.0,-33.0
1784384931.027,16.43,203.68,160.86,3428,41058,70.0,-34.0
1784384932.033,14.29,203.79,160.75,3003,38001,70.0,-33.0
1784384933.039,14.50,203.72,160.81,2949,37330,70.0,-36.0
1784384934.044,14.46,203.78,160.75,3209,40398,70.0,-30.0
1784384935.050,15.37,203.78,160.75,2911,36506,70.0,-34.0
1784384936.056,15.23,203.72,160.81,3207,41143,70.0,-28.0
1784384937.062,14.64,203.70,160.83,2951,37481,70.0,-29.0
1784384938.068,15.74,203.70,160.83,3165,41261,70.0,-31.0
1784384939.074,14.84,203.70,160.83,2911,37358,70.0,-32.0
1784384940.079,15.20,203.70,160.83,2951,37353,70.0,-33.0
1784384941.085,14.85,203.70,160.83,3207,39925,70.0,-31.0
1784384942.091,14.78,203.76,160.77,2909,37989,70.0,-34.0
1784384943.098,15.14,203.76,160.77,3165,40806,70.0,-33.0
1784384944.104,14.15,203.82,160.71,2950,37227,70.0,-33.0
1784384945.111,14.84,203.82,160.71,3167,40341,70.0,-21.0
1784384946.117,15.48,203.86,160.67,3029,38620,70.0,-21.0
