local_time_ns,local_monotonic_ns,topic,linear_x,angular_z,arm_state,validity_flags,sequence,bridge_connected,bridge_rx_count,state_x_m,state_y_m,state_yaw_rad
1785764553227240461,635492600609,/epuck1/state,,,,7,4362,,,0.0,0.0,0.0
1785764553239731280,635505091428,/epuck_bridge/status,,,,,,True,5271,,,
1785764553282677922,635548038287,/epuck1/state,,,,7,4363,,,0.0,0.0,0.0
1785764553403125168,635668485424,/epuck1/state,,,,7,4364,,,0.0,0.0,0.0
1785764553502658904,635768019160,/epuck1/state,,,,7,4365,,,0.0,0.0,0.0
1785764553604766203,635870126784,/epuck1/state,,,,7,4366,,,0.0,0.0,0.0
1785764553722680968,635988041449,/epuck1/state,,,,7,4367,,,0.0,0.0,0.0
1785764553842497131,636107857512,/epuck1/state,,,,7,4368,,,0.0,0.0,0.0
1785764553942696516,636208056797,/epuck1/state,,,,7,4369,,,0.0,0.0,0.0
1785764553975964278,636241324759,cmd_vel,0.0,0.0,,,,,,,,
1785764554025028922,636290389203,cmd_vel,0.0,0.0,,,,,,,,
1785764554043378901,636308740082,/epuck1/state,,,,7,4370,,,0.0,0.0,0.0
1785764554074937665,636340298146,cmd_vel,0.0,0.0,,,,,,,,
1785764554124653808,636390014789,cmd_vel,0.0,0.0,,,,,,,,
1785764554142793887,636408154168,/epuck1/state,,,,7,4371,,,0.0,0.0,0.0
1785764554174366251,636439726932,cmd_vel,0.0,0.0,,,,,,,,
1785764554225441592,636490801873,cmd_vel,0.0,0.0,,,,,,,,
1785764554239498276,636504858657,/epuck_bridge/status,,,,,,True,5280,,,
1785764554262586050,636527946631,/epuck1/state,,,,7,4372,,,0.0,0.0,0.0
1785764554274714836,636540075617,cmd_vel,0.0,0.0,,,,,,,,
1785764554325303978,636590664259,cmd_vel,0.0,0.0,,,,,,,,
1785764554363166835,636628527116,/epuck1/state,,,,7,4373,,,0.0,0.0,0.0
1785764554375312121,636640672502,cmd_vel,0.0,0.0,,,,,,,,
1785764554425334963,636690695344,cmd_vel,0.0,0.0,,,,,,,,
1785764554475901906,636741262087,cmd_vel,0.0,0.0,,,,,,,,
1785764554482605598,636747966079,/epuck1/state,,,,7,4374,,,0.0,0.0,0.0
1785764554525257549,636790617730,cmd_vel,0.0,0.0,,,,,,,,
1785764554575299392,636840659673,cmd_vel,0.0,0.0,,,,,,,,
1785764554602739960,636868100441,/epuck1/state,,,,7,4375,,,0.0,0.0,0.0
1785764554624385835,636889746716,cmd_vel,0.0,0.0,,,,,,,,
1785764554675217277,636940577358,cmd_vel,0.0,0.0,,,,,,,,
1785764554722876323,636988236704,/epuck1/state,,,,7,4376,,,0.0,0.0,0.0
1785764554724121021,636989481202,cmd_vel,0.0,0.0,,,,,,,,
1785764554774871463,637040231344,cmd_vel,0.0,0.0,,,,,,,,
1785764554822929808,637088290089,/epuck1/state,,,,7,4377,,,0.0,0.0,0.0
1785764554825030806,637090391087,cmd_vel,0.0,0.0,,,,,,,,
1785764554875217148,637140577429,cmd_vel,0.0,0.0,,,,,,,,
1785764554923184693,637188544974,/epuck1/state,,,,7,4378,,,0.0,0.0,0.0
1785764554924021992,637189382173,cmd_vel,0.0,0.0,,,,,,,,
1785764554975355533,637240715614,cmd_vel,0.0,0.0,,,,,,,,
1785764555023327254,637288687835,/epuck1/state,,,,7,4379,,,0.0,0.0,0.0
1785764555024301494,637289662075,cmd_vel,0.0,0.0,,,,,,,,
1785764555076641276,637342002182,cmd_vel,0.0,0.0,,,,,,,,
1785764555123677172,637389037753,/epuck1/state,,,,7,4380,,,0.0,0.0,0.0
1785764555124396938,637389757085,cmd_vel,0.0,0.0,,,,,,,,
1785764555174936763,637440297669,cmd_vel,0.0,0.0,,,,,,,,
1785764555226049563,637491410902,cmd_vel,0.0,0.0,,,,,,,,
1785764555240682455,637506042927,/epuck_bridge/status,,,,,,True,5289,,,
1785764555242692469,637508053267,/epuck1/state,,,,7,4381,,,0.0,0.0,0.0
1785764555276094522,637541455320,cmd_vel,0.0,0.0,,,,,,,,
1785764555327014597,637592375612,cmd_vel,0.0,0.0,,,,,,,,
1785764555343039679,637608400152,/epuck1/state,,,,7,4382,,,0.0,0.0,0.0
1785764555376187691,637641548489,cmd_vel,0.0,0.0,,,,,,,,
1785764555425430660,637690791024,cmd_vel,0.0,0.0,,,,,,,,
1785764555463602083,637728962772,/epuck1/state,,,,7,4383,,,0.0,0.0,0.0
1785764555476806059,637742166748,cmd_vel,0.0,0.0,,,,,,,,
1785764555524865921,637790226285,cmd_vel,0.0,0.0,,,,,,,,
1785764555564362150,637829722515,/epuck1/state,,,,7,4384,,,0.0,0.0,0.0
1785764555575895737,637841256860,cmd_vel,0.0,0.0,,,,,,,,
1785764555624744590,637890104846,cmd_vel,0.0,0.0,,,,,,,,
1785764555664976185,637930336550,/epuck1/state,,,,7,4385,,,0.0,0.0,0.0
1785764555675821206,637941181570,cmd_vel,0.0,0.0,,,,,,,,
1785764555724391859,637989752223,cmd_vel,0.0,0.0,,,,,,,,
1785764555774879793,638040240157,cmd_vel,0.0,0.0,,,,,,,,
1785764555782775550,638048135915,/epuck1/state,,,,7,4386,,,0.0,0.0,0.0
1785764555824714152,638090074950,cmd_vel,0.0,0.0,,,,,,,,
1785764555875030920,638140391934,cmd_vel,0.0,0.0,,,,,,,,
1785764555882641328,638148001800,/epuck1/state,,,,7,4387,,,0.0,0.0,0.0
1785764555925128529,638190489652,cmd_vel,0.0,0.0,,,,,,,,
1785764555975494588,638240855602,cmd_vel,0.0,0.0,,,,,,,,
1785764555982982796,638248343594,/epuck1/state,,,,7,4388,,,0.0,0.0,0.0
1785764556026783538,638292144227,cmd_vel,0.0,0.0,,,,,,,,
1785764556075813631,638341174212,cmd_vel,0.0,0.0,,,,,,,,
1785764556102946442,638368307131,/epuck1/state,,,,7,4389,,,0.0,0.0,0.0
1785764556125451475,638390811839,cmd_vel,0.0,0.0,,,,,,,,
1785764556177778040,638443138621,cmd_vel,0.0,0.0,,,,,,,,
1785764556224375295,638489736417,/epuck1/state,,,,7,4390,,,0.0,0.0,0.0
1785764556224958127,638490318167,cmd_vel,0.0,0.0,,,,,,,,
1785764556240255751,638505615899,/epuck_bridge/status,,,,,,True,5298,,,
1785764556275567503,638540927975,cmd_vel,0.0,0.0,,,,,,,,
1785764556327136494,638592496858,cmd_vel,0.0,0.0,,,,,,,,
1785764556343272292,638608633089,/epuck1/state,,,,7,4391,,,0.0,0.0,0.0
1785764556375136339,638640496703,cmd_vel,0.0,0.0,,,,,,,,
1785764556426110688,638691471053,cmd_vel,0.0,0.0,,,,,,,,
1785764556463136488,638728497827,/epuck1/state,,,,7,4392,,,0.0,0.0,0.0
1785764556475215532,638740575897,cmd_vel,0.0,0.0,,,,,,,,
1785764556526122716,638791483080,cmd_vel,0.0,0.0,,,,,,,,
1785764556562791990,638828152463,/epuck1/state,,,,7,4393,,,0.0,0.0,0.0
1785764556575373376,638840734282,cmd_vel,0.0,0.0,,,,,,,,
1785764556624638119,638889998484,cmd_vel,0.0,0.0,,,,,,,,
1785764556663847591,638929207956,/epuck1/state,,,,7,4394,,,0.0,0.0,0.0
1785764556674659245,638940019610,cmd_vel,0.0,0.0,,,,,,,,
1785764556725132554,638990493460,cmd_vel,0.0,0.0,,,,,,,,
1785764556776679445,639042039810,cmd_vel,0.0,0.0,,,,,,,,
1785764556783005996,639048366361,/epuck1/state,,,,7,4395,,,0.0,0.0,0.0
1785764556824466416,639089826888,cmd_vel,0.0,0.0,,,,,,,,
1785764556875629590,639140989846,cmd_vel,0.0,0.0,,,,,,,,
1785764556882672874,639148033238,/epuck1/state,,,,7,4396,,,0.0,0.0,0.0
1785764556925884716,639191246272,cmd_vel,0.0,0.0,,,,,,,,
1785764556977203999,639242564255,cmd_vel,0.0,0.0,,,,,,,,
1785764556983059626,639248420098,/epuck1/state,,,,7,4397,,,0.0,0.0,0.0
1785764557025845393,639291206191,cmd_vel,0.0,0.0,,,,,,,,
1785764557075151195,639340512101,cmd_vel,0.0,0.0,,,,,,,,
1785764557104113429,639369474335,/epuck1/state,,,,7,4398,,,0.0,0.0,0.0
1785764557125470346,639390830818,cmd_vel,0.0,0.0,,,,,,,,
1785764557175350747,639440711111,cmd_vel,0.0,0.0,,,,,,,,
1785764557224101016,639489461705,/epuck1/state,,,,7,4399,,,0.0,0.0,0.0
1785764557224639432,639489999580,cmd_vel,0.0,0.0,,,,,,,,
1785764557240004873,639505365237,/epuck_bridge/status,,,,,,True,5307,,,
1785764557274588733,639539949531,cmd_vel,0.0,0.0,,,,,,,,
1785764557325894041,639591254406,cmd_vel,0.0,0.0,,,,,,,,
1785764557342771380,639608132503,/epuck1/state,,,,7,4400,,,0.0,0.0,0.0
1785764557375449443,639640810024,cmd_vel,0.0,0.0,,,,,,,,
1785764557424992603,639690353509,cmd_vel,0.0,0.0,,,,,,,,
1785764557442775932,639708136405,/epuck1/state,,,,7,4401,,,0.0,0.0,0.0
1785764557476520644,639741881441,cmd_vel,0.0,0.0,,,,,,,,
1785764557526647936,639792008409,cmd_vel,0.0,0.0,,,,,,,,
1785764557562832095,639828193218,/epuck1/state,,,,7,4402,,,0.0,0.0,0.0
1785764557575145897,639840507778,cmd_vel,0.0,0.0,,,,,,,,
1785764557626315464,639891675936,cmd_vel,0.0,0.0,,,,,,,,
1785764557676483923,639941844179,cmd_vel,0.0,0.0,,,,,,,,
1785764557683039491,639948400288,/epuck1/state,,,,7,4403,,,0.0,0.0,0.0
1785764557725668825,639991029623,cmd_vel,0.0,0.0,,,,,,,,
1785764557776193809,640041554281,cmd_vel,0.0,0.0,,,,,,,,
1785764557802868803,640068229601,/epuck1/state,,,,7,4404,,,0.0,0.0,0.0
1785764557826207352,640091567824,cmd_vel,0.0,0.0,,,,,,,,
1785764557876654444,640142015350,cmd_vel,0.0,0.0,,,,,,,,
1785764557923416690,640188777271,/epuck1/state,,,,7,4405,,,0.0,0.0,0.0
1785764557924565131,640189925495,cmd_vel,0.0,0.0,,,,,,,,
1785764557975966313,640241328194,cmd_vel,0.0,0.0,,,,,,,,
1785764558024298200,640289658889,/epuck1/state,,,,7,4406,,,0.0,0.0,0.0
1785764558025382940,640290743413,cmd_vel,0.0,0.0,,,,,,,,
1785764558076947923,640342308720,cmd_vel,0.0,0.0,,,,,,,,
1785764558125710217,640391071448,cmd_vel,0.0,0.0,,,,,,,,
1785764558142883305,640408243886,/epuck1/state,,,,7,4407,,,0.0,0.0,0.0
1785764558177087241,640442447714,cmd_vel,0.0,0.0,,,,,,,,
1785764558224748545,640490108909,cmd_vel,0.0,0.0,,,,,,,,
1785764558240572994,640505933141,/epuck_bridge/status,,,,,,True,5315,,,
1785764558243129982,640508490563,/epuck1/state,,,,7,4408,,,0.0,0.0,0.0
1785764558276899502,640542260083,cmd_vel,0.0,0.0,,,,,,,,
1785764558324949180,640590310520,cmd_vel,0.0,0.0,,,,,,,,
1785764558362844679,640628204935,/epuck1/state,,,,7,4409,,,0.0,0.0,0.0
1785764558374957090,640640317346,cmd_vel,0.0,0.0,,,,,,,,
1785764558425792881,640691153137,cmd_vel,0.0,0.0,,,,,,,,
1785764558475284475,640740645597,cmd_vel,0.0,0.0,,,,,,,,
1785764558482876574,640748237047,/epuck1/state,,,,7,4410,,,0.0,0.0,0.0
1785764558525099876,640790460240,cmd_vel,0.0,0.0,,,,,,,,
1785764558576776117,640842136373,cmd_vel,0.0,0.0,,,,,,,,
1785764558602712062,640868072643,/epuck1/state,,,,7,4411,,,0.0,0.0,0.0
1785764558625945852,640891306325,cmd_vel,0.0,0.0,,,,,,,,
1785764558675210704,640940570852,cmd_vel,0.0,0.0,,,,,,,,
1785764558724607073,640989967545,/epuck1/state,,,,7,4412,,,0.0,0.0,0.0
1785764558725005089,640990364803,cmd_vel,0.0,0.0,,,,,,,,
1785764558776897996,641042258252,cmd_vel,0.0,0.0,,,,,,,,
1785764558826272048,641091632412,cmd_vel,0.0,0.0,,,,,,,,
1785764558842557346,641107918035,/epuck1/state,,,,7,4413,,,0.0,0.0,0.0
1785764558874982125,641140342490,cmd_vel,0.0,0.0,,,,,,,,
1785764558924775968,641190136549,cmd_vel,0.0,0.0,,,,,,,,
1785764558943103672,641208464578,/epuck1/state,,,,7,4414,,,0.0,0.0,0.0
1785764558974892861,641240253117,cmd_vel,0.0,0.0,,,,,,,,
1785764559026248869,641291609450,cmd_vel,0.0,0.0,,,,,,,,
1785764559064683758,641330044447,/epuck1/state,,,,7,4415,,,0.0,0.0,0.0
1785764559075045938,641340406410,cmd_vel,0.0,0.0,,,,,,,,
1785764559125350247,641390711370,cmd_vel,0.0,0.0,,,,,,,,
1785764559174731774,641440092788,cmd_vel,0.0,0.0,,,,,,,,
1785764559182855464,641448216262,/epuck1/state,,,,7,4416,,,0.0,0.0,0.0
1785764559225526182,641490886655,cmd_vel,0.0,0.0,,,,,,,,
