topic,time_s,linear_mps,angular_rps
/epuck1/cmd_vel,5.529016998,0.0,0.0
/epuck1/cmd_vel,5.569290478,0.0,0.0
/epuck1/cmd_vel,5.607074409,0.0,0.0
/epuck1/cmd_vel,5.668889366,0.0,0.0
/epuck1/cmd_vel,5.724979435,0.0,0.0
/epuck1/cmd_vel,5.790502204,0.0,0.0
/epuck1/cmd_vel,5.8283117,0.0,0.0
/epuck1/cmd_vel,5.885710401,0.0,0.0
/epuck1/cmd_vel,5.92705591,0.0,0.0
/epuck1/cmd_vel,6.008756749,0.0,0.0
/epuck1/cmd_vel,6.051837704,0.0019999999999999575,0.0
/epuck1/cmd_vel,6.111082,0.004999999999999893,0.0
/epuck1/cmd_vel,6.150966225,0.007000000000000029,0.0
/epuck1/cmd_vel,6.214219322,0.009999999999999966,0.0
/epuck1/cmd_vel,6.265275061,0.011999999999999924,0.0
/epuck1/cmd_vel,6.329372946,0.015000000000000038,0.0
/epuck1/cmd_vel,6.368017446,0.016999999999999994,0.0
/epuck1/cmd_vel,6.425942484,0.01999999999999993,0.0
/epuck1/cmd_vel,6.469299179,0.021999999999999888,0.0
/epuck1/cmd_vel,6.52088005,0.025,0.0
/epuck1/cmd_vel,6.559787561,0.025,0.0
/epuck1/cmd_vel,6.613252998,0.025,0.0
/epuck1/cmd_vel,6.647644309,0.025,0.0
/epuck1/cmd_vel,6.706045921,0.025,0.0
/epuck1/cmd_vel,6.74860054,0.025,0.0
/epuck1/cmd_vel,6.823132459,0.025,0.0
/epuck1/cmd_vel,6.865170842,0.025,0.0
/epuck1/cmd_vel,6.920936251,0.025,0.0
/epuck1/cmd_vel,6.959245255,0.025,0.0
/epuck1/cmd_vel,7.024916888,0.025,0.0
/epuck1/cmd_vel,7.07567048,0.025,0.0
/epuck1/cmd_vel,7.151420346,0.025,0.0
/epuck1/cmd_vel,7.192183446,0.025,0.0
/epuck1/cmd_vel,7.246899549,0.025,0.0
/epuck1/cmd_vel,7.288198453,0.025,0.0
/epuck1/cmd_vel,7.36768159,0.025,0.0
/epuck1/cmd_vel,7.409435081,0.025,0.0
/epuck1/cmd_vel,7.468341987,0.025,0.0
/epuck1/cmd_vel,7.503973023,0.025,0.0
/epuck1/cmd_vel,7.566062142,0.025,0.0
/epuck1/cmd_vel,7.628615421,0.025,0.0
/epuck1/cmd_vel,7.692192862,0.025,0.0
/epuck1/cmd_vel,7.732536198,0.025,0.0
/epuck1/cmd_vel,7.790935284,0.025,0.0
/epuck1/cmd_vel,7.832075015,0.025,0.0
/epuck1/cmd_vel,7.911477565,0.025,0.0
/epuck1/cmd_vel,7.95331827,0.025,0.0
/epuck1/cmd_vel,8.010867203,0.025,0.0
/epuck1/cmd_vel,8.048883004,0.025,0.0
/epuck1/cmd_vel,8.112050885,0.025,0.0
/epuck1/cmd_vel,8.171106866,0.025,0.0
/epuck1/cmd_vel,8.235882476,0.025,0.0
/epuck1/cmd_vel,8.272442569,0.025,0.0
/epuck1/cmd_vel,8.332376477,0.025,0.0
/epuck1/cmd_vel,8.374751619,0.025,0.0
/epuck1/cmd_vel,8.458242083,0.025,0.0
/epuck1/cmd_vel,8.499259356,0.025,0.0
/epuck1/cmd_vel,8.557098862,0.025,0.0
/epuck1/cmd_vel,8.595091729,0.025,0.0
/epuck1/cmd_vel,8.681334331,0.025,0.0
/epuck1/cmd_vel,8.722744541,0.025,0.0
/epuck1/cmd_vel,8.784391488,0.0,-0.17999999999999616
/epuck1/cmd_vel,8.820825756,0.0,-0.30000000000000426
/epuck1/cmd_vel,8.880765662,0.0,-0.45
/epuck1/cmd_vel,8.942116564,0.0,-0.45
/epuck1/cmd_vel,9.005413531,0.0,-0.45
/epuck1/cmd_vel,9.045313431,0.0,-0.45
/epuck1/cmd_vel,9.102351914,0.0,-0.45
/epuck1/cmd_vel,9.145463589,0.0,-0.45
/epuck1/cmd_vel,9.226100709,0.0,-0.45
/epuck1/cmd_vel,9.268373487,0.0,-0.45
/epuck1/cmd_vel,9.324520471,0.0,-0.45
/epuck1/cmd_vel,9.362618962,0.0,-0.45
/epuck1/cmd_vel,9.428991464,0.0,-0.45
/epuck1/cmd_vel,9.488498981,0.0,-0.45
/epuck1/cmd_vel,9.549072741,0.0,-0.45
/epuck1/cmd_vel,9.587840119,0.0,-0.45
/epuck1/cmd_vel,9.646895785,0.0,-0.45
/epuck1/cmd_vel,9.690098356,0.0,-0.45
/epuck1/cmd_vel,9.764079321,0.0,-0.45
/epuck1/cmd_vel,9.805249139,0.0,-0.45
/epuck1/cmd_vel,9.864715942,0.0,-0.45
/epuck1/cmd_vel,9.902680509,0.0,-0.45
/epuck1/cmd_vel,9.982523023,0.0,-0.45
/epuck1/cmd_vel,10.025266799,0.0,-0.45
/epuck1/cmd_vel,10.08619415,0.0,-0.45
/epuck1/cmd_vel,10.123428706,0.0,-0.45
/epuck1/cmd_vel,10.183439939,0.0,-0.45
/epuck1/cmd_vel,10.241179923,0.0,-0.45
/epuck1/cmd_vel,10.305618038,0.0,-0.45
/epuck1/cmd_vel,10.343746407,0.0,-0.45
/epuck1/cmd_vel,10.401016549,0.0,-0.45
/epuck1/cmd_vel,10.443654385,0.0,-0.45
/epuck1/cmd_vel,10.52592301,0.0,-0.45
/epuck1/cmd_vel,10.568597457,0.0,-0.45
/epuck1/cmd_vel,10.626210249,0.0,-0.45
/epuck1/cmd_vel,10.665174569,0.0,-0.45
/epuck1/cmd_vel,10.727916269,0.0,-0.45
/epuck1/cmd_vel,10.787130687,0.0,-0.45
/epuck1/cmd_vel,10.849261467,0.0,-0.45
/epuck1/cmd_vel,10.885784949,0.0,-0.45
/epuck1/cmd_vel,10.944138377,0.0,-0.45
/epuck1/cmd_vel,10.98840898,0.0,-0.45
/epuck1/cmd_vel,11.070583342,0.0,-0.45
/epuck1/cmd_vel,11.109423311,0.0,-0.45
/epuck1/cmd_vel,11.166686089,0.0,-0.45
/epuck1/cmd_vel,11.208084919,0.0,-0.2900000000000034
/epuck1/cmd_vel,11.296906739,0.0029999999999999363,-0.05000000000000854
/epuck1/cmd_vel,11.336244462,0.004999999999999893,0.0
/epuck1/cmd_vel,11.395118623,0.008000000000000007,0.0
/epuck1/cmd_vel,11.433203094,0.009999999999999964,0.0
/epuck1/cmd_vel,11.49546096,0.01,0.0
/epuck1/cmd_vel,11.554027626,0.01,0.0
/epuck1/cmd_vel,11.619503549,0.01,0.0
/epuck1/cmd_vel,11.655221049,0.01,0.0
/epuck1/cmd_vel,11.713182836,0.01,0.0
/epuck1/cmd_vel,11.752583006,0.01,0.0
/epuck1/cmd_vel,11.83418165,0.01,0.0
/epuck1/cmd_vel,11.889679584,0.01,0.0
/epuck1/cmd_vel,11.948789631,0.01,0.0
/epuck1/cmd_vel,11.986148752,0.01,0.0
/epuck1/cmd_vel,12.044303355,0.01,0.0
/epuck1/cmd_vel,12.089538761,0.01,0.0
/epuck1/cmd_vel,12.171844328,0.01,0.0
/epuck1/cmd_vel,12.212790079,0.01,0.0
/epuck1/cmd_vel,12.270552205,0.01,0.0
/epuck1/cmd_vel,12.30984612,0.01,0.0
/epuck1/cmd_vel,12.391669699,0.01,0.0
/epuck1/cmd_vel,12.434603634,0.01,0.0
/epuck1/cmd_vel,12.494064141,0.01,0.0
/epuck1/cmd_vel,12.531735075,0.01,0.0
/epuck1/cmd_vel,12.593015276,0.01,0.0
/epuck1/cmd_vel,12.637918862,0.01,0.0
/epuck1/cmd_vel,12.725604215,0.01,0.0
/epuck1/cmd_vel,12.769246125,0.01,0.0
/epuck1/cmd_vel,12.826419272,0.01,0.0
/epuck1/cmd_vel,12.863769337,0.01,0.0
/epuck1/cmd_vel,12.92911984,0.01,0.0
/epuck1/cmd_vel,12.987256014,0.01,0.0
/epuck1/cmd_vel,13.047748735,0.01,0.0
/epuck1/cmd_vel,13.083428324,0.01,0.0
/epuck1/cmd_vel,13.142670847,0.01,0.0
/epuck1/cmd_vel,13.185960191,0.01,0.0
/epuck1/cmd_vel,13.274775272,0.01,0.0
/epuck1/cmd_vel,13.31856598,0.01,0.0
/epuck1/cmd_vel,13.377877583,0.01,0.0
/epuck1/cmd_vel,13.4148933,0.01,0.0
/epuck1/cmd_vel,13.476625161,0.01,0.0
/epuck1/cmd_vel,13.532308328,0.01,0.0
/epuck1/cmd_vel,13.595825131,0.01,0.0
/epuck1/cmd_vel,13.635556068,0.01,0.0
/epuck1/cmd_vel,13.690849497,0.01,0.0
/epuck1/cmd_vel,13.73521265,0.01,0.0
/epuck1/cmd_vel,13.814212544,0.01,0.0
/epuck1/cmd_vel,13.859233441,0.01,0.0
/epuck1/cmd_vel,13.915867314,0.01,0.0
/epuck1/cmd_vel,13.953899975,0.01,0.0
/epuck1/cmd_vel,14.017380658,0.01,0.0
/epuck1/cmd_vel,14.078183611,0.01,0.0
/epuck1/cmd_vel,14.143179337,0.01,0.0
/epuck1/cmd_vel,14.181292136,0.01,0.0
/epuck1/cmd_vel,14.238095131,0.01,0.0
/epuck1/cmd_vel,14.281976087,0.01,0.0
/epuck1/cmd_vel,14.359588464,0.01,0.0
/epuck1/cmd_vel,14.399950607,0.01,0.0
/epuck1/cmd_vel,14.459120153,0.01,0.0
/epuck1/cmd_vel,14.495075119,0.01,0.0
/epuck1/cmd_vel,14.560980692,0.01,0.0
/epuck1/cmd_vel,14.626299708,0.01,0.0
/epuck1/cmd_vel,14.689603372,0.01,0.0
/epuck1/cmd_vel,14.727848119,0.01,0.0
/epuck1/cmd_vel,14.784925964,0.01,0.0
/epuck1/cmd_vel,14.82817108,0.01,0.0
/epuck1/cmd_vel,14.908442127,0.01,0.0
/epuck1/cmd_vel,14.950304254,0.01,0.0
/epuck1/cmd_vel,15.00592487,0.01,0.0
/epuck1/cmd_vel,15.046754994,0.01,0.0
/epuck1/cmd_vel,15.110954815,0.01,0.0
/epuck1/cmd_vel,15.167301307,0.01,0.0
/epuck1/cmd_vel,15.226680728,0.01,0.0
/epuck1/cmd_vel,15.266483694,0.01,0.0
/epuck1/cmd_vel,15.323814801,0.01,0.0
/epuck1/cmd_vel,15.366673232,0.01,0.0
/epuck1/cmd_vel,15.446362988,0.01,0.0
/epuck1/cmd_vel,15.48681422,0.01,0.0
/epuck1/cmd_vel,15.545192073,0.01,0.0
/epuck1/cmd_vel,15.584251681,0.01,0.0
/epuck1/cmd_vel,15.649486558,0.01,0.0
/epuck1/cmd_vel,15.715042619,0.01,0.0
/epuck1/cmd_vel,15.779464215,0.01,0.0
/epuck1/cmd_vel,15.818081431,0.01,0.0
/epuck1/cmd_vel,15.876516359,0.01,0.0
/epuck1/cmd_vel,15.920145317,0.01,0.0
/epuck1/cmd_vel,15.995993602,0.01,0.0
/epuck1/cmd_vel,16.038196395,0.01,0.0
/epuck1/cmd_vel,16.094838272,0.01,0.0
/epuck1/cmd_vel,16.132459816,0.01,0.0
/epuck1/cmd_vel,16.194738638,0.01,0.0
/epuck1/cmd_vel,16.253480955,0.01,0.0
/epuck1/cmd_vel,16.34398873,0.01,0.0
/epuck1/cmd_vel,16.382201149,0.01,0.0
/epuck1/cmd_vel,16.439653147,0.01,0.0
/epuck1/cmd_vel,16.480581733,0.01,0.0
/epuck1/cmd_vel,16.560093522,0.01,0.0
/epuck1/cmd_vel,16.602104131,0.01,0.0
/epuck1/cmd_vel,16.663055671,0.01,0.0
/epuck1/cmd_vel,16.697629438,0.01,0.0
/epuck1/cmd_vel,16.760012618,0.01,0.0
/epuck1/cmd_vel,16.820156564,0.01,0.0
/epuck1/cmd_vel,16.885252963,0.01,0.0
/epuck1/cmd_vel,16.924334054,0.01,0.0
/epuck1/cmd_vel,16.979720573,0.01,0.0
/epuck1/cmd_vel,17.019616314,0.01,0.0
/epuck1/cmd_vel,17.098714459,0.01,0.0
/epuck1/cmd_vel,17.153329715,0.01,0.0
/epuck1/cmd_vel,17.214820107,0.01,0.0
/epuck1/cmd_vel,17.252540745,0.01,0.0
/epuck1/cmd_vel,17.310901854,0.01,0.0
/epuck1/cmd_vel,17.354540815,0.01,0.0
/epuck1/cmd_vel,17.438422713,0.01,0.0
