time_s,current_distance_m,closing_speed_mps,tcpa_s,dcpa_m,trigger_reason
7.6855e-05,1.0,0.0,0.0,1.0,NONE
0.112768881,1.0,0.0,0.0,1.0,NONE
0.114398092,1.0,0.0,0.0,1.0,NONE
0.222774444,1.0,0.0,0.0,1.0,NONE
0.22405599,1.0,0.0,0.0,1.0,NONE
0.341517233,1.0,0.0,0.0,1.0,NONE
0.343106399,1.0,0.0,0.0,1.0,NONE
0.436136253,1.0,0.0,0.0,1.0,NONE
0.436730257,1.0,0.0,0.0,1.0,NONE
0.574375775,1.0,0.0,0.0,1.0,NONE
0.575009622,1.0,0.0,0.0,1.0,NONE
0.669380281,1.0,0.0,0.0,1.0,NONE
0.670574254,1.0,0.0,0.0,1.0,NONE
0.769508342,1.0,0.0,0.0,1.0,NONE
0.770104266,1.0,0.0,0.0,1.0,NONE
0.903626449,1.0,0.0,0.0,1.0,NONE
0.904308025,1.0,0.0,0.0,1.0,NONE
0.99842756,1.0,0.0,0.0,1.0,NONE
0.998858025,1.0,0.0,0.0,1.0,NONE
1.143524869,1.0,0.0,0.0,1.0,NONE
1.144402255,1.0,0.0,0.0,1.0,NONE
1.239371249,1.0,0.0,0.0,1.0,NONE
1.239793638,1.0,0.0,0.0,1.0,NONE
1.338426836,1.0,0.0,0.0,1.0,NONE
1.340215327,1.0,0.0,0.0,1.0,NONE
1.479386065,1.0,0.0,0.0,1.0,NONE
1.48030141,1.0,0.0,0.0,1.0,NONE
1.576124974,1.0,0.0,0.0,1.0,NONE
1.5773137,1.0,0.0,0.0,1.0,NONE
1.701403513,1.0,0.0,0.0,1.0,NONE
1.702283524,1.0,0.0,0.0,1.0,NONE
1.816699375,1.0,0.0,0.0,1.0,NONE
1.816989212,1.0,0.0,0.0,1.0,NONE
1.915422725,1.0,0.0,0.0,1.0,NONE
1.915944452,1.0,0.0,0.0,1.0,NONE
2.043960532,1.0,0.0,0.0,1.0,NONE
2.045146391,1.0,0.0,0.0,1.0,NONE
2.155976691,1.0,0.0,0.0,1.0,NONE
2.156272752,1.0,0.0,0.0,1.0,NONE
2.268572976,1.0,0.0,0.0,1.0,NONE
2.268626503,1.0,0.0,0.0,1.0,NONE
2.376791746,1.0,0.0,0.0,1.0,NONE
2.377543442,1.0,0.0,0.0,1.0,NONE
2.490139727,1.0,0.0,0.0,1.0,NONE
2.491114603,1.0,0.0,0.0,1.0,NONE
2.618277272,1.0,0.0,0.0,1.0,NONE
2.618946813,1.0,0.0,0.0,1.0,NONE
2.733021792,1.0,0.0,0.0,1.0,NONE
2.733034494,1.0,0.0,0.0,1.0,NONE
2.834762795,1.0,0.0,0.0,1.0,NONE
2.834771464,1.0,0.0,0.0,1.0,NONE
2.956945823,1.0,0.0,0.0,1.0,NONE
2.957326771,1.0,0.0,0.0,1.0,NONE
3.067870606,1.0,0.0,0.0,1.0,NONE
3.067891747,1.0,0.0,0.0,1.0,NONE
3.196468489,1.0,0.0,0.0,1.0,NONE
3.196507248,1.0,0.0,0.0,1.0,NONE
3.294382151,1.0,0.0,0.0,1.0,NONE
3.294394433,1.0,0.0,0.0,1.0,NONE
3.410567819,1.0,0.0,0.0,1.0,NONE
3.411447704,1.0,0.0,0.0,1.0,NONE
3.522883706,1.0,0.0,0.0,1.0,NONE
3.523768322,1.0,0.0,0.0,1.0,NONE
3.617163162,1.0,0.0,0.0,1.0,NONE
3.618378389,1.0,0.0,0.0,1.0,NONE
3.75426935,1.0,0.0,0.0,1.0,NONE
3.755405448,1.0,0.0,0.0,1.0,NONE
3.849835109,1.0,0.0,0.0,1.0,NONE
3.850295287,1.0,0.0,0.0,1.0,NONE
3.964491156,1.0,0.0,0.0,1.0,NONE
3.964503726,1.0,0.0,0.0,1.0,NONE
4.074873004,1.0,0.0,0.0,1.0,NONE
4.076075991,1.0,0.0,0.0,1.0,NONE
4.194299727,1.0,0.0,0.0,1.0,NONE
4.194551728,1.0,0.0,0.0,1.0,NONE
4.311711652,1.0,0.0,0.0,1.0,NONE
4.311817037,1.0,0.0,0.0,1.0,NONE
4.41116596,1.0,0.0,0.0,1.0,NONE
4.411177625,1.0,0.0,0.0,1.0,NONE
4.527167444,1.0,0.0,0.0,1.0,NONE
4.528320051,1.0,0.0,0.0,1.0,NONE
4.640204652,1.0,0.0,0.0,1.0,NONE
4.640218932,1.0,0.0,0.0,1.0,NONE
4.757208609,1.0,0.0,0.0,1.0,NONE
4.758268198,1.0,0.0,0.0,1.0,NONE
4.849750193,1.0,0.0,0.0,1.0,NONE
4.850712341,1.0,0.0,0.0,1.0,NONE
4.988903253,1.0,0.0,0.0,1.0,NONE
4.988916411,1.0,0.0,0.0,1.0,NONE
5.080328341,1.0,0.0,0.0,1.0,NONE
5.080415727,1.0,0.0,0.0,1.0,NONE
5.185099874,1.0,0.0,0.0,1.0,NONE
5.185519427,1.0,0.0,0.0,1.0,NONE
5.314390901,1.0,0.0,0.0,1.0,NONE
5.314966945,1.0,0.0,0.0,1.0,NONE
5.409538128,1.0,0.0,0.0,1.0,NONE
5.409558217,1.0,0.0,0.0,1.0,NONE
5.523931458,1.0,0.0,0.0,1.0,NONE
5.524666504,1.0,0.0,0.0,1.0,NONE
5.635604674,1.0,0.0,0.0,1.0,NONE
5.636358603,1.0,0.0,0.0,1.0,NONE
5.760428169,1.0,0.0,0.0,1.0,NONE
5.762097843,1.0,0.0,0.0,1.0,NONE
5.875773202,1.0,0.0,0.0,1.0,NONE
5.877065308,1.0,0.0,0.0,1.0,NONE
5.974663883,1.0,0.0,0.0,1.0,NONE
5.974827062,1.0,0.0,0.0,1.0,NONE
6.085136028,1.0,0.0,0.0,1.0,NONE
6.085169146,1.0,0.0,0.0,1.0,NONE
6.197454825,1.0,0.0,0.0,1.0,NONE
6.197584887,1.0,0.0,0.0,1.0,NONE
6.316113013,1.0,0.0,0.0,1.0,NONE
6.316998254,1.0,0.0,0.0,1.0,NONE
6.409700654,1.0,0.0,0.0,1.0,NONE
6.409715105,1.0,0.0,0.0,1.0,NONE
6.545531168,1.0,0.0,0.0,1.0,NONE
6.545572314,1.0,0.0,0.0,1.0,NONE
6.640136318,1.0,0.0,0.0,1.0,NONE
6.641201397,1.0,0.0,0.0,1.0,NONE
6.751346181,1.0,0.0,0.0,1.0,NONE
6.753643732,1.0,0.0,0.0,1.0,NONE
6.865874517,1.0,0.0,0.0,1.0,NONE
6.866478761,1.0,0.0,0.0,1.0,NONE
6.96423442,1.0,0.0,0.0,1.0,NONE
6.964850236,1.0,0.0,0.0,1.0,NONE
7.080194951,1.0,0.0,0.0,1.0,NONE
7.080957676,1.0,0.0,0.0,1.0,NONE
7.19353889,1.0,0.0,0.0,1.0,NONE
7.193963172,1.0,0.0,0.0,1.0,NONE
7.320040193,1.0,0.0,0.0,1.0,NONE
7.321595728,1.0,0.0,0.0,1.0,NONE
7.431913936,1.0,0.0,0.0,1.0,NONE
7.433774822,1.0,0.0,0.0,1.0,NONE
7.551098351,1.0,0.0,0.0,1.0,NONE
7.552114883,1.0,0.0,0.0,1.0,NONE
7.647622922,1.0,0.0,0.0,1.0,NONE
7.648273334,1.0,0.0,0.0,1.0,NONE
7.763355819,1.0,0.0,0.0,1.0,NONE
7.764171491,1.0,0.0,0.0,1.0,NONE
7.881894834,1.0,0.0,0.0,1.0,NONE
7.882147639,1.0,0.0,0.0,1.0,NONE
7.973386647,1.0,0.0,0.0,1.0,NONE
7.973399073,1.0,0.0,0.0,1.0,NONE
8.120296211,1.0,0.0,0.0,1.0,NONE
8.120702171,1.0,0.0,0.0,1.0,NONE
8.210429341,1.0,0.0,0.0,1.0,NONE
8.210944533,1.0,0.0,0.0,1.0,NONE
8.325152788,1.0,0.0,0.0,1.0,NONE
8.326764104,1.0,0.0,0.0,1.0,NONE
8.439540424,1.0,0.0,0.0,1.0,NONE
8.439640737,1.0,0.0,0.0,1.0,NONE
8.551227637,1.0,0.0,0.0,1.0,NONE
8.552103393,1.0,0.0,0.0,1.0,NONE
8.648558221,1.0,0.0,0.0,1.0,NONE
8.649035032,1.0,0.0,0.0,1.0,NONE
8.764995902,1.0,0.0,0.0,1.0,NONE
8.767846845,1.0,0.0,0.0,1.0,NONE
8.885987434,1.0,0.0,0.0,1.0,NONE
8.886410231,1.0,0.0,0.0,1.0,NONE
8.998979668,1.0,0.0,0.0,1.0,NONE
9.000416474,1.0,0.0,0.0,1.0,NONE
