time_s,center_separation_m
1.036841755,1.0
1.037730776,1.0
1.160003648,1.0
1.160926293,1.0
1.270328467,1.0
1.270343878,1.0
1.388485462,1.0
1.389152628,1.0
1.479326781,1.0
1.4793579,1.0
1.614496765,1.0
1.615243722,1.0
1.710755946,1.0
1.712831416,1.0
1.81447758,1.0
1.82205133,1.0
1.941749092,1.0
1.943955549,1.0
2.039813984,1.0
2.041212377,1.0
2.175726565,1.0
2.176990761,1.0
2.286935832,1.0
2.29091685,1.0
2.401492678,1.0
2.401500625,1.0
2.519565909,1.0
2.519696421,1.0
2.65223969,1.0
2.671392956,1.0
2.742913671,1.0
2.742928173,1.0
2.857169284,1.0
2.857205339,1.0
2.967719611,1.0
2.968506258,1.0
3.065975995,1.0
3.066164214,1.0
3.202957264,1.0
3.202989147,1.0
3.312998852,1.0
3.314294834,1.0
3.438961472,1.0
3.441867996,1.0
3.552101398,1.0
3.552749544,1.0
3.686630027,1.0
3.686672833,1.0
3.778959478,1.0
3.780710841,1.0
3.876923702,1.0
3.878139248,1.0
4.008186575,1.0
4.008826478,1.0
4.100695989,1.0
4.101067237,1.0
4.239043472,1.0
4.239085781,1.0
4.348869077,1.0
4.348898674,1.0
4.468715035,1.0
4.468728641,1.0
4.57479826,1.0
4.576724209,1.0
4.717117892,1.0
4.718401891,1.0
4.812668927,1.0
4.814682071,1.0
4.926608238,1.0
4.926619342,1.0
5.038152757,1.0
5.03815996,1.0
5.155260656,1.0
5.15587981,1.0
5.269785597,1.0
5.269790499,1.0
5.401015584,1.0
5.401034592,1.0
5.496507709,1.0
5.496595641,1.0
5.613431245,1.0
5.614157005,1.0
5.745957276,1.0
5.746698942,1.0
5.837703682,1.0
5.841082394,1.0
5.96472874,1.0
5.967814747,1.0
6.080837384,1.0
6.08110548,1.0
6.192333472,1.0
6.193186478,1.0
6.309060137,1.0
6.311488208,1.0
6.423750672,1.0
6.423775281,1.0
6.547977908,1.0
6.548022422,1.0
6.658428372,1.0
6.658431073,1.0
6.808455956,1.0
6.808802865,1.0
6.904051958,1.0
6.904320242,1.0
7.000676383,1.0
7.000706392,1.0
7.148298912,1.0
7.151969264,1.0
7.239035889,1.0
7.239924668,1.0
7.379774358,1.0
7.380548301,1.0
7.493436688,1.0
7.495642594,1.0
7.590253776,1.0
7.590257177,1.0
7.737036385,1.0
7.738252919,1.0
7.846793527,1.0
7.847620354,1.0
7.962703558,1.0
7.964215473,1.0
8.05338136,1.0
8.05527348,1.0
8.180274307,1.0
8.180289011,1.0
8.275482954,1.0
8.275517563,1.0
8.405081744,1.0
8.408505784,1.0
8.517620571,1.0
8.518834662,1.0
8.616190257,1.0
8.618606938,1.0
8.751998892,1.0
8.752013295,1.0
8.86734791,0.9997487664222717
8.867379218,0.9997487664222717
8.9809121,0.998744010925293
8.981652378,0.998744010925293
9.074142503,0.998744010925293
9.074182313,0.9981160163879395
9.209152646,0.9956039786338806
9.210344833,0.9956039786338806
9.302311633,0.9932175874710083
9.303962729,0.9932175874710083
9.440927127,0.9902032017707825
9.442629185,0.9902032017707825
9.552328551,0.9902032017707825
9.555236563,0.9871888160705566
9.66698696,0.9848023653030396
9.669298646,0.9848023653030396
9.780672551,0.9822903871536255
9.781647058,0.9822903871536255
9.911401745,0.9787735939025879
9.913325405,0.9787735939025879
10.019294769,0.9787735939025879
10.019302555,0.9762616157531738
10.111363518,0.9742519855499268
10.113306841,0.9742519855499268
10.250354107,0.9742519855499268
10.250364488,0.9707351922988892
10.341149898,0.9707351922988892
10.343158202,0.9682232141494751
10.475113646,0.9657111763954163
10.475729197,0.9657111763954163
10.586705418,0.9621943831443787
10.586732667,0.9621943831443787
10.703751008,0.9621943831443787
10.703762187,0.9596824049949646
10.817588388,0.9596824049949646
10.817604058,0.9567936062812805
10.953508741,0.9567936062812805
10.953520819,0.9537791609764099
11.046772529,0.9507647752761841
11.047021664,0.9507647752761841
11.143908089,0.9507647752761841
11.144457563,0.9487551748752594
11.275433347,0.9487551748752594
11.275464789,0.9457407891750336
11.369459612,0.9432287812232971
11.37009822,0.9432287812232971
11.512111596,0.9417843818665188
11.513864183,0.9417843818665188
11.620445349,0.9417216181761585
11.620701764,0.9417216181761585
11.738136516,0.9417216181761585
11.73817175,0.9417216181761585
11.868596152,0.9417216181761585
11.87028496,0.9417216181761585
11.982418531,0.9417835176464047
11.984010323,0.9417835176464047
12.10788161,0.9417835176464047
12.107885403,0.9417223930493965
12.196559412,0.9417223930493965
12.197817834,0.9417223930493965
12.330161409,0.9417223930493965
12.332592714,0.9417223930493965
12.439179879,0.9417223930493965
12.440622316,0.941780597153923
12.553768829,0.941780597153923
12.555363818,0.941780597153923
12.686625389,0.941780597153923
12.688472749,0.9417245090508429
12.779666512,0.9417245090508429
12.779744451,0.9417245090508429
12.917910785,0.9417245090508429
12.917915927,0.9417245090508429
13.026821841,0.9417245090508429
13.026834445,0.9417758289724135
13.145215313,0.9417271018943846
13.14574869,0.9417271018943846
13.238786586,0.9417271018943846
13.238791527,0.9417271018943846
13.374977912,0.9417271018943846
13.374993339,0.9417271018943846
13.46818612,0.9417271018943846
13.468246136,0.9417690640722335
13.586142009,0.9417690640722335
13.588719184,0.9417690640722335
13.727039713,0.9417304099946403
13.727645112,0.9417304099946403
13.820179086,0.9417645640417422
13.820404953,0.9417645640417422
13.960629085,0.9417645640417422
13.960632307,0.9414962435107429
14.072181765,0.9414962435107429
14.072201099,0.9409267213810104
14.189335088,0.9404922124973859
14.192012759,0.9404922124973859
14.283742455,0.9404922124973859
14.28505385,0.9398581259287745
14.419414516,0.9392249178990159
14.419733428,0.9392249178990159
14.515238819,0.9386925147567403
14.516448158,0.9386925147567403
14.648354382,0.9380611662430582
14.650019072,0.9380611662430582
14.76150151,0.9380611662430582
14.762557054,0.9375304579515789
14.859793566,0.9369009158574144
14.86057069,0.9369009158574144
14.99433684,0.9369009158574144
14.995732464,0.9362398610399066
15.111431547,0.9356456958940969
15.111455587,0.9356456958940969
15.23593005,0.9351185427691246
15.237623005,0.9351185427691246
15.326455296,0.9345921725891491
15.328219968,0.9345921725891491
15.463689322,0.9339349446336227
