topic,time_s,linear_mps,angular_rps
/epuck1/cmd_vel,3.046001212,0.0,0.0
/epuck1/cmd_vel,3.048289966,0.0,0.0
/epuck1/cmd_vel,3.084408577,0.003000000000000025,0.0
/epuck1/cmd_vel,3.121977112,0.004999999999999983,0.0
/epuck1/cmd_vel,3.180436722,0.008000000000000007,0.0
/epuck1/cmd_vel,3.219277673,0.009999999999999964,0.0
/epuck1/cmd_vel,3.298363406,0.012999999999999989,0.0
/epuck1/cmd_vel,3.336637841,0.014999999999999947,0.0
/epuck1/cmd_vel,3.391969161,0.017999999999999974,0.0
/epuck1/cmd_vel,3.434453178,0.02000000000000002,0.0
/epuck1/cmd_vel,3.510889794,0.022999999999999958,0.0
/epuck1/cmd_vel,3.551365742,0.025,0.0
/epuck1/cmd_vel,3.609666099,0.025,0.0
/epuck1/cmd_vel,3.645508159,0.025,0.0
/epuck1/cmd_vel,3.701123089,0.025,0.0
/epuck1/cmd_vel,3.760016487,0.025,0.0
/epuck1/cmd_vel,3.821189057,0.025,0.0
/epuck1/cmd_vel,3.856968485,0.025,0.0
/epuck1/cmd_vel,3.913269404,0.025,0.0
/epuck1/cmd_vel,3.952506227,0.025,0.0
/epuck1/cmd_vel,4.031877041,0.025,0.0
/epuck1/cmd_vel,4.071657001,0.025,0.0
/epuck1/cmd_vel,4.128361753,0.025,0.0
/epuck1/cmd_vel,4.163576885,0.025,0.0
/epuck1/cmd_vel,4.22708611,0.025,0.0
/epuck1/cmd_vel,4.283121486,0.025,0.0
/epuck1/cmd_vel,4.344563547,0.025,0.0
/epuck1/cmd_vel,4.379621411,0.025,0.0
/epuck1/cmd_vel,4.438258625,0.025,0.0
/epuck1/cmd_vel,4.477002988,0.025,0.0
/epuck1/cmd_vel,4.555112831,0.025,0.0
/epuck1/cmd_vel,4.613124899,0.025,0.0
/epuck1/cmd_vel,4.647432889,0.025,0.0
/epuck1/cmd_vel,4.686993619,0.025,0.0
/epuck1/cmd_vel,4.764485972,0.025,0.0
/epuck1/cmd_vel,4.807259683,0.025,0.0
/epuck1/cmd_vel,4.862808644,0.025,0.0
