received_seq,action,scheduled_delay_s,receive_time_s,release_time_s
0,forwarded,0.000000,12.700000,12.700000
1,forwarded,0.000000,12.700000,12.700000
2,forwarded,0.000000,12.700000,12.700000
3,forwarded,0.000000,12.700000,12.700000
4,forwarded,0.000000,12.700000,12.700000
5,forwarded,0.000000,12.720000,12.720000
6,forwarded,0.000000,12.840000,12.840000
7,forwarded,0.000000,12.960000,12.960000
8,forwarded,0.000000,13.080000,13.080000
9,forwarded,0.000000,13.200000,13.200000
10,forwarded,0.000000,13.300000,13.300000
11,forwarded,0.000000,13.420000,13.420000
12,forwarded,0.000000,13.540000,13.540000
13,forwarded,0.000000,13.640000,13.640000
14,forwarded,0.000000,13.760000,13.760000
15,forwarded,0.000000,13.880000,13.880000
16,forwarded,0.000000,14.000000,14.000000
17,forwarded,0.000000,14.120000,14.120000
18,forwarded,0.000000,14.220000,14.220000
19,forwarded,0.000000,14.340000,14.340000
20,forwarded,0.000000,14.460000,14.460000
21,forwarded,0.000000,14.580000,14.580000
22,forwarded,0.000000,14.700000,14.700000
23,forwarded,0.000000,14.800000,14.800000
24,forwarded,0.000000,14.920000,14.920000
25,forwarded,0.000000,15.040000,15.040000
26,forwarded,0.000000,15.140000,15.140000
27,forwarded,0.000000,15.260000,15.260000
28,forwarded,0.000000,15.380000,15.380000
29,forwarded,0.000000,15.500000,15.500000
30,forwarded,0.000000,15.620000,15.620000
31,forwarded,0.000000,15.720000,15.720000
32,forwarded,0.000000,15.840000,15.840000
33,forwarded,0.000000,15.960000,15.960000
34,forwarded,0.000000,16.080000,16.080000
35,forwarded,0.000000,16.180000,16.180000
36,forwarded,0.000000,16.280000,16.280000
37,forwarded,0.000000,16.400000,16.400000
38,forwarded,0.000000,16.500000,16.500000
39,forwarded,0.000000,16.600000,16.600000
40,forwarded,0.000000,16.740000,16.740000
41,forwarded,0.000000,16.840000,16.840000
42,forwarded,0.000000,16.940000,16.940000
43,forwarded,0.000000,17.080000,17.080000
44,forwarded,0.000000,17.180000,17.180000
45,forwarded,0.000000,17.280000,17.280000
46,forwarded,0.000000,17.400000,17.400000
47,forwarded,0.000000,17.500000,17.500000
48,forwarded,0.000000,17.600000,17.600000
49,forwarded,0.000000,17.720000,17.720000
50,forwarded,0.000000,17.820000,17.820000
51,forwarded,0.000000,17.920000,17.920000
52,forwarded,0.000000,18.040000,18.040000
53,forwarded,0.000000,18.140000,18.140000
54,forwarded,0.000000,18.260000,18.260000
55,forwarded,0.000000,18.380000,18.380000
56,forwarded,0.000000,18.480000,18.480000
57,forwarded,0.000000,18.600000,18.600000
58,forwarded,0.000000,18.720000,18.720000
59,forwarded,0.000000,18.820000,18.820000
60,forwarded,0.000000,18.920000,18.920000
61,forwarded,0.000000,19.040000,19.040000
62,forwarded,0.000000,19.140000,19.140000
63,forwarded,0.000000,19.260000,19.260000
64,forwarded,0.000000,19.380000,19.380000
65,forwarded,0.000000,19.480000,19.480000
66,forwarded,0.000000,19.600000,19.600000
67,forwarded,0.000000,19.720000,19.720000
68,forwarded,0.000000,19.820000,19.820000
