topic,time_s,linear_mps,angular_rps
/epuck1/cmd_vel,15.317030704,0.0,0.0
/epuck1/cmd_vel,15.437200957,0.0,0.0
/epuck1/cmd_vel,15.488866544,0.0,0.0
/epuck1/cmd_vel,15.536086332,0.0,0.0
/epuck1/cmd_vel,15.569006501,0.0,0.0
/epuck1/cmd_vel,15.602237496,0.0,0.0
/epuck1/cmd_vel,15.657891325,0.0,0.0
/epuck1/cmd_vel,15.697948627,0.0,0.0
/epuck1/cmd_vel,15.782292629,0.0,0.0
/epuck1/cmd_vel,15.822747597,0.0,0.0
/epuck1/cmd_vel,15.878364195,0.0,0.0
/epuck1/cmd_vel,15.914594457,0.0,0.0
/epuck1/cmd_vel,15.974181531,0.0,0.0
/epuck1/cmd_vel,16.048136398,0.0,0.0
/epuck1/cmd_vel,16.098074971,0.0,0.0
/epuck1/cmd_vel,16.137788607,0.0,0.0
/epuck1/cmd_vel,16.192298447,0.0,0.0
/epuck1/cmd_vel,16.230397661,0.0,0.0
/epuck1/cmd_vel,16.288577331,0.0,0.0
/epuck1/cmd_vel,16.342779776,0.0,0.0
/epuck1/cmd_vel,16.413738265,0.0,0.0
/epuck1/cmd_vel,16.45259058,0.0,0.0
/epuck1/cmd_vel,16.507874016,0.0,0.0
/epuck1/cmd_vel,16.565863535,0.0,0.0
/epuck1/cmd_vel,16.606357345,0.0,0.0
/epuck1/cmd_vel,16.667213841,0.0,0.0
/epuck1/cmd_vel,16.726394906,0.0,0.0
/epuck1/cmd_vel,16.763722604,0.0,0.0
/epuck1/cmd_vel,16.817463458,0.0,0.0
/epuck1/cmd_vel,16.858990814,0.0,0.0
/epuck1/cmd_vel,16.933744924,0.0,0.0
/epuck1/cmd_vel,16.984488747,0.0,0.0
/epuck1/cmd_vel,17.043996094,0.0,0.0
/epuck1/cmd_vel,17.098035284,0.0,0.0
/epuck1/cmd_vel,17.137815344,0.0,0.0
/epuck1/cmd_vel,17.177178693,0.0,0.0
/epuck1/cmd_vel,17.252813736,0.0,0.0
/epuck1/cmd_vel,17.292051721,0.0,0.0
/epuck1/cmd_vel,17.345827681,0.0,0.0
/epuck1/cmd_vel,17.381804169,0.0,0.0
/epuck1/cmd_vel,17.459996887,0.0,0.0
/epuck1/cmd_vel,17.500412397,0.0,0.0
/epuck1/cmd_vel,17.558084265,0.0,0.0
/epuck1/cmd_vel,17.611822633,0.0,0.0
/epuck1/cmd_vel,17.653443115,0.0,0.0
/epuck1/cmd_vel,17.711030845,0.0,0.0
/epuck1/cmd_vel,17.770489361,0.0,0.0
/epuck1/cmd_vel,17.80927023,0.0,0.0
/epuck1/cmd_vel,17.865835436,0.0,0.0
/epuck1/cmd_vel,17.905352881,0.0,0.0
/epuck1/cmd_vel,17.978406728,0.0,0.0
/epuck1/cmd_vel,18.018756865,0.0,0.0
/epuck1/cmd_vel,18.074440973,0.0,0.0
/epuck1/cmd_vel,18.110148281,0.0,0.0
/epuck1/cmd_vel,18.170890117,0.0,0.0
/epuck1/cmd_vel,18.228356681,0.0,0.0
/epuck1/cmd_vel,18.28840386,0.0,0.0
/epuck1/cmd_vel,18.323999084,0.0,0.0
/epuck1/cmd_vel,18.379078312,0.0,0.0
/epuck1/cmd_vel,18.419801974,0.0,0.0
/epuck1/cmd_vel,18.499584473,0.0,0.0
/epuck1/cmd_vel,18.538062255,0.0,0.0
/epuck1/cmd_vel,18.594020238,0.0,0.0
/epuck1/cmd_vel,18.631515552,0.0,0.0
/epuck1/cmd_vel,18.707692846,0.0,0.0
/epuck1/cmd_vel,18.751010104,0.0,0.0
/epuck1/cmd_vel,18.805332007,0.0,0.0
/epuck1/cmd_vel,18.842178798,0.0,0.0
/epuck1/cmd_vel,18.899670063,0.0,0.0
/epuck1/cmd_vel,18.958292104,0.0,0.0
