topic,time_s,linear_mps,angular_rps
/epuck1/cmd_vel,57.289584822,0.0,0.0
/epuck1/cmd_vel,57.307097959,0.0,0.0
/epuck1/cmd_vel,57.34494919,0.0,0.0
/epuck1/cmd_vel,57.402956818,0.0,0.0
/epuck1/cmd_vel,57.441596837,0.0,0.0
/epuck1/cmd_vel,57.525831372,0.0,0.0
/epuck1/cmd_vel,57.56587607,0.0,0.0
/epuck1/cmd_vel,57.620128254,0.0,0.0
/epuck1/cmd_vel,57.657247397,0.0,0.0
/epuck1/cmd_vel,57.717225595,0.0,0.0
/epuck1/cmd_vel,57.772002272,0.0,0.0
/epuck1/cmd_vel,57.843594696,0.0,0.0
/epuck1/cmd_vel,57.880505442,0.0,0.0
/epuck1/cmd_vel,57.934619228,0.0,0.0
/epuck1/cmd_vel,57.97311505,0.0,0.0
/epuck1/cmd_vel,58.036655695,0.0,0.0
/epuck1/cmd_vel,58.098368568,0.0,0.0
/epuck1/cmd_vel,58.16010634,0.0,0.0
/epuck1/cmd_vel,58.196185097,0.0,0.0
/epuck1/cmd_vel,58.251130347,0.0,0.0
/epuck1/cmd_vel,58.289796348,0.0,0.0
/epuck1/cmd_vel,58.364396094,0.0,0.0
/epuck1/cmd_vel,58.414918912,0.0,0.0
/epuck1/cmd_vel,58.476582458,0.0,0.0
/epuck1/cmd_vel,58.509999741,0.0,0.0
/epuck1/cmd_vel,58.564516097,0.0,0.0
/epuck1/cmd_vel,58.606829842,0.0,0.0
/epuck1/cmd_vel,58.691131738,0.0,0.0
/epuck1/cmd_vel,58.732825793,0.0,0.0
/epuck1/cmd_vel,58.788745527,0.0,0.0
/epuck1/cmd_vel,58.825888452,0.0,0.0
/epuck1/cmd_vel,58.883515761,0.0,0.0
/epuck1/cmd_vel,58.924465327,0.0,0.0
/epuck1/cmd_vel,59.009780907,0.0,0.0
/epuck1/cmd_vel,59.049201297,0.0,0.0
/epuck1/cmd_vel,59.104975033,0.0,0.0
/epuck1/cmd_vel,59.139760395,0.0,0.0
/epuck1/cmd_vel,59.200276556,0.0,0.0
/epuck1/cmd_vel,59.254341496,0.0,0.0
/epuck1/cmd_vel,59.327088738,0.0,0.0
/epuck1/cmd_vel,59.363196663,0.0,0.0
/epuck1/cmd_vel,59.419719964,0.0,0.0
/epuck1/cmd_vel,59.456979171,0.0,0.0
/epuck1/cmd_vel,59.535193626,0.0,0.0
/epuck1/cmd_vel,59.575266188,0.0,0.0
